phase_key,name,desc,icon,picture,return_on_complete,source_file
coordinated_strike_occupy_bridges,coordinated_strike_occupy_bridges,coordinated_strike_occupy_bridges_desc,"""GFX_phase_coordinated_strike_occupy_bridges_small""","""GFX_phase_coordinated_strike_occupy_bridges""",,lar_coordinated_strike.txt
exfiltration_air_pickup,exfiltration_air_pickup,exfiltration_air_pickup_desc,"""GFX_phase_exfiltration_air_pickup_small""","""GFX_phase_exfiltration_air_pickup""",yes,lar_exfiltration.txt
exfiltration_submarine_pickup,exfiltration_submarine_pickup,exfiltration_submarine_pickup_desc,"""GFX_phase_exfiltration_submarine_pickup_small""","""GFX_phase_exfiltration_submarine_pickup""",,lar_exfiltration.txt
exfiltration_border,exfiltration_border,exfiltration_border_desc,"""GFX_phase_exfiltration_border_small""","""GFX_phase_exfiltration_border""",,lar_exfiltration.txt
exfiltration_go_to_ground,exfiltration_go_to_ground,exfiltration_go_to_ground_desc,"""GFX_phase_exfiltration_go_to_ground_small""","""GFX_phase_exfiltration_go_to_ground""",,lar_exfiltration.txt
fake_intel_decoy_tanks,fake_intel_decoy_tanks,fake_intel_decoy_tanks_desc,"""GFX_phase_fake_intel_decoy_tanks_small""","""GFX_phase_fake_intel_decoy_tanks""",,lar_fake_intel.txt
fake_intel_radio_deception,fake_intel_radio_deception,fake_intel_radio_deception_desc,"""GFX_phase_fake_intel_radio_deception_small""","""GFX_phase_fake_intel_radio_deception""",,lar_fake_intel.txt
fake_intel_deliberate_leaks,fake_intel_deliberate_leaks,fake_intel_deliberate_leaks_desc,"""GFX_phase_fake_intel_deliberate_leaks_small""","""GFX_phase_fake_intel_deliberate_leaks""",,lar_fake_intel.txt
fake_intel_press_releases,fake_intel_press_releases,fake_intel_press_releases_desc,"""GFX_phase_fake_intel_press_releases_small""","""GFX_phase_fake_intel_press_releases""",,lar_fake_intel.txt
fake_intel_utilize_double_agents,fake_intel_utilize_double_agents,fake_intel_utilize_double_agents_desc,"""GFX_phase_fake_intel_utilize_double_agents_small""","""GFX_phase_fake_intel_utilize_double_agents""",,lar_fake_intel.txt
fake_intel_plant_evidence,fake_intel_plant_evidence,fake_intel_plant_evidence_desc,"""GFX_phase_fake_intel_plant_evidence_small""","""GFX_phase_fake_intel_plant_evidence""",,lar_fake_intel.txt
fake_intel_release_pow,fake_intel_release_pow,fake_intel_release_pow_desc,"""GFX_phase_fake_intel_release_pow_small""","""GFX_phase_fake_intel_release_pow""",,lar_fake_intel.txt
lar_communist_uprising_organise_cells,lar_communist_uprising_organise_cells,lar_communist_uprising_organise_cells_desc,"""GFX_phase_lar_communist_uprising_organise_cells_small""","""GFX_phase_lar_communist_uprising_organise_cells""",,lar_fra_phases.txt
lar_communist_uprising_infiltrate_civil_service,lar_communist_uprising_infiltrate_civil_service,lar_communist_uprising_infiltrate_civil_service_desc,"""GFX_phase_lar_communist_uprising_infiltrate_civil_service_small""","""GFX_phase_lar_communist_uprising_infiltrate_civil_service""",,lar_fra_phases.txt
lar_communist_uprising_train_workers_militia,lar_communist_uprising_train_workers_militia,lar_communist_uprising_train_workers_militia_desc,"""GFX_phase_lar_communist_uprising_train_workers_militia_small""","""GFX_phase_lar_communist_uprising_train_workers_militia""",,lar_fra_phases.txt
lar_communist_uprising_organize_strikes,lar_communist_uprising_organize_strikes,lar_communist_uprising_organize_strikes_desc,"""GFX_phase_lar_communist_uprising_organize_strikes_small""","""GFX_phase_lar_communist_uprising_organize_strikes""",,lar_fra_phases.txt
lar_fra_coup_pre_position_units,lar_fra_coup_pre_position_units,lar_fra_coup_pre_position_units_desc,"""GFX_phase_lar_fra_coup_pre_position_units_small""","""GFX_phase_lar_fra_coup_pre_position_units""",,lar_fra_phases.txt
lar_fra_launch_coup,lar_fra_launch_coup,lar_fra_launch_coup_desc,"""GFX_phase_lar_fra_coup_launch_coup_small""","""GFX_phase_lar_fra_launch_coup""",,lar_fra_phases.txt
free_operative_free_in_transit,free_operative_free_in_transit,free_operative_free_in_transit_desc,"""GFX_phase_free_operative_free_in_transit_small""","""GFX_phase_free_operative_free_in_transit""",,lar_free_operative.txt
free_operative_liberate_camp,free_operative_liberate_camp,free_operative_liberate_camp_desc,"""GFX_phase_free_operative_liberate_camp_small""","""GFX_phase_free_operative_liberate_camp""",,lar_free_operative.txt
free_operative_smuggle_in_escape_gear,free_operative_smuggle_in_escape_gear,free_operative_smuggle_in_escape_gear_desc,"""GFX_phase_free_operative_smuggle_in_escape_gear_small""","""GFX_phase_free_operative_smuggle_in_escape_gear""",,lar_free_operative.txt
heavy_water_infiltration,heavy_water_infiltration,heavy_water_infiltration_desc,"""GFX_phase_heavy_water_infiltration_small""","""GFX_phase_heavy_water_infiltration""",,lar_historical_operations.txt
heavy_water_attack,heavy_water_attack,heavy_water_attack_desc,"""GFX_phase_heavy_water_attack_small""","""GFX_phase_heavy_water_attack""",,lar_historical_operations.txt
heavy_water_exfiltration,heavy_water_exfiltration,heavy_water_exfiltration_desc,"""GFX_phase_heavy_water_exfiltration_small""","""GFX_phase_heavy_water_exfiltration""",,lar_historical_operations.txt
bruneval_infiltration,bruneval_infiltration,bruneval_infiltration_desc,"""GFX_phase_bruneval_infiltration_small""","""GFX_phase_bruneval_infiltration""",,lar_historical_operations.txt
bruneval_attack,bruneval_attack,bruneval_attack_desc,"""GFX_phase_bruneval_attack_small""","""GFX_phase_bruneval_attack""",,lar_historical_operations.txt
bruneval_exfiltration,bruneval_exfiltration,bruneval_exfiltration_desc,"""GFX_phase_bruneval_exfiltration_small""","""GFX_phase_bruneval_exfiltration""",,lar_historical_operations.txt
capture_tito_infiltration,capture_tito_infiltration,capture_tito_infiltration_desc,"""GFX_phase_capture_tito_infiltration_small""","""GFX_phase_capture_tito_infiltration""",,lar_historical_operations.txt
capture_tito_attack,capture_tito_attack,capture_tito_attack_desc,"""GFX_phase_capture_tito_attack_small""","""GFX_phase_capture_tito_attack""",,lar_historical_operations.txt
capture_tito_exfiltration,capture_tito_exfiltration,capture_tito_exfiltration_desc,"""GFX_phase_capture_tito_exfiltration_small""","""GFX_phase_capture_tito_exfiltration""",,lar_historical_operations.txt
rescue_mussolini_infiltration,rescue_mussolini_infiltration,rescue_mussolini_infiltration_desc,"""GFX_phase_capture_tito_infiltration_small""","""GFX_phase_capture_tito_infiltration""",,lar_historical_operations.txt
rescue_mussolini_attack,rescue_mussolini_attack,rescue_mussolini_attack_desc,"""GFX_phase_rescue_mussolini_attack_small""","""GFX_phase_rescue_mussolini_attack""",,lar_historical_operations.txt
rescue_mussolini_exfiltration,rescue_mussolini_exfiltration,rescue_mussolini_exfiltration_desc,"""GFX_phase_rescue_mussolini_exfiltration_small""","""GFX_phase_rescue_mussolini_exfiltration""",,lar_historical_operations.txt
raid_trotskys_villa_attack,raid_trotskys_villa_attack,raid_trotskys_villa_attack_desc,"""GFX_phase_raid_trotskys_villa_small""","""GFX_phase_raid_trotskys_villa""",,lar_historical_operations.txt
murder_trotsky_infiltration,murder_trotsky_infiltration,murder_trotsky_infiltration_desc,"""GFX_phase_infiltration_diplomatic_small""","""GFX_phase_infiltration_diplomatic""",,lar_historical_operations.txt
murder_trotsky_attack,murder_trotsky_attack,murder_trotsky_attack_desc,"""GFX_phase_murder_trotsky_small""","""GFX_phase_murder_trotsky""",,lar_historical_operations.txt
infiltrate_military_bribe,infiltrate_military_bribe,infiltrate_military_bribe_desc,"""GFX_phase_infiltrate_military_bribe_small""","""GFX_phase_infiltrate_military_bribe""",,lar_infiltrate_military.txt
infiltrate_military_seduction,infiltrate_military_seduction,infiltrate_military_seduction_desc,"""GFX_phase_infiltrate_military_seduction_small""","""GFX_phase_infiltrate_military_seduction""",,lar_infiltrate_military.txt
infiltrate_military_turned_pow,infiltrate_military_turned_pow,infiltrate_military_turned_pow_desc,"""GFX_phase_infiltrate_military_turned_pow_small""","""GFX_phase_infiltrate_military_turned_pow""",,lar_infiltrate_military.txt
infiltrate_military_ideological_supporter,infiltrate_military_ideological_supporter,infiltrate_military_ideological_supporter_desc,"""GFX_phase_infiltrate_military_ideological_supporter_small""","""GFX_phase_infiltrate_military_ideological_supporter""",,lar_infiltrate_military.txt
infiltration_paradrop,infiltration_paradrop,infiltration_paradrop_desc,"""GFX_phase_infiltration_airplane_small""","""GFX_phase_infiltration_airplane""",yes,lar_infiltration.txt
infiltration_submarine,infiltration_submarine,infiltration_submarine_desc,"""GFX_phase_infiltration_submarine_small""","""GFX_phase_infiltration_submarine""",,lar_infiltration.txt
infiltration_border,infiltration_border,infiltration_border_desc,"""GFX_phase_infiltration_border_small""","""GFX_phase_infiltration_border""",,lar_infiltration.txt
infiltration_diplomatic,infiltration_diplomatic,infiltration_diplomatic_desc,"""GFX_phase_infiltration_diplomatic_small""","""GFX_phase_infiltration_diplomatic""",,lar_infiltration.txt
resistance_contacts_radio_circuits,resistance_contacts_radio_circuits,resistance_contacts_radio_circuits_desc,"""GFX_phase_resistance_contacts_radio_circuits_small""","""GFX_phase_resistance_contacts_radio_circuits""",,lar_resistance_contacts.txt
resistance_support_pidgeons,resistance_support_pidgeons,resistance_support_pidgeons_desc,"""GFX_phase_resistance_support_pidgeons_small""","""GFX_phase_resistance_support_pidgeons""",,lar_resistance_contacts.txt
resistance_contacts_briefings,resistance_contacts_briefings,resistance_contacts_briefings_desc,"""GFX_phase_resistance_contacts_briefings_small""","""GFX_phase_resistance_contacts_briefings""",,lar_resistance_contacts.txt
resistance_support_arms_depots,resistance_support_arms_depots,resistance_support_arms_depots_desc,"""GFX_phase_resistance_support_arms_depots_small""","""GFX_phase_resistance_support_arms_depots""",,lar_resistance_support.txt
resistance_support_distribute_weapons,resistance_support_distribute_weapons,resistance_support_distribute_weapons_desc,"""GFX_phase_resistance_support_distribute_weapons_small""","""GFX_phase_resistance_support_distribute_weapons""",,lar_resistance_support.txt
resistance_support_organize_training,resistance_support_organize_training,resistance_support_organize_training_desc,"""GFX_phase_resistance_support_organize_training_small""","""GFX_phase_resistance_support_organize_training""",,lar_resistance_support.txt
resistance_support_coordinate_groups,resistance_support_coordinate_groups,resistance_support_coordinate_groups_desc,"""GFX_phase_resistance_support_coordinate_groups_small""","""GFX_phase_resistance_support_coordinate_groups""",,lar_resistance_support.txt
steal_blueprints_bribe,steal_blueprints_bribe,steal_blueprints_bribe_desc,"""GFX_phase_infiltrate_military_bribe_small""","""GFX_phase_infiltrate_military_bribe""",,lar_steal_blueprints.txt
steal_blueprints_seduction,steal_blueprints_seduction,steal_blueprints_seduction_desc,"""GFX_phase_infiltrate_military_seduction_small""","""GFX_phase_infiltrate_military_seduction""",,lar_steal_blueprints.txt
steal_blueprints_infiltrate_naval_design_office,steal_blueprints_infiltrate_naval_design_office,steal_blueprints_infiltrate_naval_design_office_desc,"""GFX_phase_steal_blueprints_infiltrate_naval_design_office_small""","""GFX_phase_steal_blueprints_infiltrate_naval_design_office""",,lar_steal_blueprints.txt
steal_blueprints_steal_prototype,steal_blueprints_steal_prototype,steal_blueprints_steal_prototype_desc,"""GFX_phase_steal_blueprints_steal_prototype_small""","""GFX_phase_steal_blueprints_steal_prototype""",,lar_steal_blueprints.txt
steal_blueprints_middle_manager,steal_blueprints_middle_manager,steal_blueprints_middle_manager_desc,"""GFX_phase_steal_blueprints_middle_manager_small""","""GFX_phase_steal_blueprints_middle_manager""",,lar_steal_blueprints.txt
targeted_sabotage_plant_explosives,targeted_sabotage_plant_explosives,targeted_sabotage_plant_explosives_desc,"""GFX_phase_targeted_sabotage_plant_explosives_small""","""GFX_phase_targeted_sabotage_plant_explosives""",,lar_targeted_sabotage.txt
targeted_sabotage_organize_more_meetings,targeted_sabotage_organize_more_meetings,targeted_sabotage_organize_more_meetings_desc,"""GFX_phase_targeted_sabotage_organize_more_meetings_small""","""GFX_phase_targeted_sabotage_organize_more_meetings""",,lar_targeted_sabotage.txt
targeted_sabotage_destroy_bridge,targeted_sabotage_destroy_bridge,targeted_sabotage_destroy_bridge_desc,"""GFX_phase_targeted_sabotage_destroy_bridge_small""","""GFX_phase_targeted_sabotage_destroy_bridge""",,lar_targeted_sabotage.txt
targeted_sabotage_collapse_tunnel,targeted_sabotage_collapse_tunnel,targeted_sabotage_collapse_tunnel_desc,"""GFX_phase_targeted_sabotage_collapse_tunnel_small""","""GFX_phase_targeted_sabotage_collapse_tunnel""",,lar_targeted_sabotage.txt
targeted_sabotage_remove_roadsigns,targeted_sabotage_remove_roadsigns,targeted_sabotage_remove_roadsigns_desc,"""GFX_phase_targeted_sabotage_remove_roadsigns_small""","""GFX_phase_targeted_sabotage_remove_roadsigns""",,lar_targeted_sabotage.txt
targeted_sabotage_immobilize_rolling_stock,targeted_sabotage_immobilize_rolling_stock,targeted_sabotage_immobilize_rolling_stock_desc,"""GFX_phase_targeted_sabotage_immobilize_rolling_stock_small""","""GFX_phase_targeted_sabotage_immobilize_rolling_stock""",,lar_targeted_sabotage.txt
targeted_sabotage_burn_storage,targeted_sabotage_burn_storage,targeted_sabotage_burn_storage_desc,"""GFX_phase_targeted_sabotage_burn_storage_small""","""GFX_phase_targeted_sabotage_burn_storage""",,lar_targeted_sabotage.txt
targeted_sabotage_destroy_mining_equipment,targeted_sabotage_destroy_mining_equipment,targeted_sabotage_destroy_mining_equipment_desc,"""GFX_phase_targeted_sabotage_destroy_mining_equipment_small""","""GFX_phase_targeted_sabotage_destroy_mining_equipment""",,lar_targeted_sabotage.txt
