decision_key,category_key,icon,cost,fire_only_once,dlc_source
AUS_send_volunteers_to_italy,AUS_supporting_italy_in_ethiopia_category,GFX_decision_generic_military,50,yes,
AUS_send_infantry_equipment_to_italy,AUS_supporting_italy_in_ethiopia_category,GFX_decision_generic_prepare_civil_war,100,yes,
AUS_speak_out_against_embargo,AUS_supporting_italy_in_ethiopia_category,GFX_decision_eng_trade_unions_demand,50,yes,
AUS_integrating_german_cores_decision,AUS_becoming_grossosterreich_category,GFX_decision_generic_political_address,100,,
AUS_becoming_grossosterreich_decision,AUS_becoming_grossosterreich_category,GFX_decision_eng_trade_unions_support,50,yes,
AUS_subjugating_the_lands_of_old_decision,AUS_subjugating_the_lands_of_old_category,GFX_decision_hol_draw_up_staff_plans,,yes,
AUS_annexing_the_lands_of_old_decision,AUS_subjugating_the_lands_of_old_category,GFX_decision_generic_prepare_civil_war,,yes,
AUS_anti_FROM_speech_decision,AUS_subjugating_the_lands_of_old_category,GFX_decision_eng_blackshirt_speech,50,yes,
AUS_military_exercises_on_border_decision,AUS_subjugating_the_lands_of_old_category,GFX_decision_generic_prepare_civil_war,50,yes,
AUS_arm_border_guards_decision,AUS_subjugating_the_lands_of_old_category,GFX_decision_generic_reorganize_irregulars,25,yes,
AUS_offer_nap_decision,AUS_subjugating_the_lands_of_old_category,GFX_decision_eng_trade_unions_support,50,yes,
AUS_industrial_bribery_decision,AUS_subjugating_the_lands_of_old_category,GFX_decision_generic_construction,50,yes,
AUS_joint_military_exercises_decision,AUS_subjugating_the_lands_of_old_category,GFX_decision_generic_military,50,yes,
AUS_further_balkan_demands,AUS_subjugating_the_lands_of_old_category,GFX_decision_eng_trade_unions_demand,,yes,
AUS_installing_a_habsburg_ruler_decision,AUS_subjugating_the_lands_of_old_category,GFX_decision_generic_monarchy,25,yes,
AUS_hand_bosnia_to_our_cro_puppet,AUS_subjugating_the_lands_of_old_category,GFX_decision_generic_form_nation,25,yes,
AUS_the_danubian_federation_decision,AUS_the_danubian_federation_category,GFX_decision_generic_protection,100,yes,
AUS_the_danubian_federation_observers_decision,AUS_the_danubian_federation_category,GFX_decision_generic_protection,100,yes,
AUS_industrial_coaxing_decision,AUS_the_danubian_federation_category,GFX_decision_generic_factory,100,yes,
AUS_trade_coaxing_descision,AUS_the_danubian_federation_category,GFX_decision_hol_attract_foreign_investors,50,yes,Arms Against Tyranny
AUS_propose_a_federative_union_decision,AUS_the_danubian_federation_category,GFX_decision_eng_trade_unions_demand,150,yes,Gotterdammerung
AUS_spur_danubian_communism_decision,AUS_danubian_communism_category,GFX_decision_generic_civil_support,100,yes,
AUS_demand_liberation_of_workers_decision,AUS_danubian_communism_category,GFX_decision_generic_political_rally,150,yes,
AUS_reintegrate_FROM_italy_decision,AUS_reintegrating_the_empire_category,GFX_decision_category_generic_propaganda,100,yes,
AUS_reintegrate_FROM_switzerland_decision,AUS_reintegrating_the_empire_category,GFX_decision_category_generic_propaganda,100,yes,
invite_to_org,african_union_category,GFX_decision_generic_orginization_of_african_unity,15,,
invite_to_ACB,african_union_category,GFX_decision_gre_paying_ifc_debt,25,,
invite_to_exec_council,african_union_category,GFX_decision_eng_trade_unions_support,50,,
integrate_into_org,african_union_category,GFX_decision_generic_form_nation,,yes,
invite_to_org_alliance,african_union_category,GFX_decision_generic_military,25,,
leave_org_of_african_unity,african_union_category,GFX_decision_generic_break_treaty,150,yes,
threaten_member_state,african_union_category,GFX_decision_generic_assassination,25,,
formalize_the_entente,BALTIC_entente,GFX_decision_hol_exchange_intelligence_data,,yes,"No Compromise, No Surrender"
abandon_the_entente,BALTIC_entente,GFX_decision_generic_break_treaty,,yes,
BALTIC_promote_communism,convert_neighbours_baltic_cat,hol_draw_up_staff_plans,50,,
BALTIC_promote_communism_militancy,convert_neighbours_baltic_cat,hol_draw_up_staff_plans,,,
BALTIC_promote_unity_BLR,infiltrate_belarus_decisions,{,25,,
BALTIC_belarus_uprising,infiltrate_belarus_decisions,GFX_decision_revolt,,yes,
BALTIC_forest_brothers_resistance,BALTIC_forest_brother_resistance_cat,GFX_decision_revolt,,,
BEL_requisition_congolese_funds_decision,political_actions,GFX_decision_generic_fundraising,0,,
BEL_invest_congo_gold_into_infrastructure_decision,political_actions,GFX_decision_generic_construction,10,,
BEL_invest_congo_gold_into_welfare_decision,political_actions,GFX_decision_generic_welfare,10,,
BEL_invest_congo_diamonds_into_construction_decision,political_actions,GFX_decision_hol_attract_foreign_investors,10,,
BEL_dismantle_BEL_SPR_alliance_decision,political_actions,GFX_decision_generic_break_treaty,10,,
BEL_emergency_measures_on_production_front,political_actions,GFX_decision_generic_industry,100,yes,
BEL_remove_flooded_tank_barriers,BEL_belgian_defences_cat,generic_construction,,,
BEL_gold_reserves_welfare,BEL_gold_reserves_cat,GFX_decision_generic_welfare,50,,
BEL_gold_reserves_construction,BEL_gold_reserves_cat,GFX_decision_generic_construction,50,,
BEL_gold_reserves_industry,BEL_gold_reserves_cat,GFX_decision_generic_factory,50,,
BEL_request_equipment_decision,BEL_government_in_exile_cat,GFX_decision_generic_industry,50,,
BEL_request_factory_access_decision,BEL_government_in_exile_cat,GFX_decision_generic_industry,50,,
BEL_share_military_experience,BEL_government_in_exile_cat,GFX_decision_generic_industry,50,,
BEL_force_congolese_capitulation_decision,war_measures,GFX_decision_eng_trade_unions_support,25,,
BEL_invite_to_the_european_union_decision,BEL_closer_european_union_cat,GFX_decision_eng_trade_unions_support,50,yes,
BEL_establish_research_sharing_group_decision,BEL_closer_european_union_cat,GFX_decision_hol_exchange_intelligence_data,100,yes,
BEL_propose_limited_federalization_descision,BEL_closer_european_union_cat,GFX_decision_hol_exchange_intelligence_data,100,yes,
BEL_complete_integration_of_from_decision,BEL_cores_in_gallic_france_cat,GFX_decision_generic_operation,100,yes,
BEL_guns_for_the_spaniards_decision,BEL_intervention_in_spain_cat,GFX_decision_generic_prepare_civil_war,,yes,
BEL_more_equipment_for_the_spanish_decision,BEL_intervention_in_spain_cat,GFX_decision_generic_industry,50,yes,
BEL_speech_in_support_of_spain_decision,BEL_intervention_in_spain_cat,GFX_decision_generic_political_address,100,yes,
BEL_encourage_emigration_to_spain_decision,BEL_intervention_in_spain_cat,GFX_decision_eng_propaganda_campaigns,75,yes,
BEL_intervene_on_side_of_SPR,BEL_intervention_in_spain_cat,GFX_faction_logo_generic_11,100,,
BEL_form_alliance_with_spain,BEL_intervention_in_spain_cat,GFX_decision_eng_trade_unions_support,50,yes,
BEL_communist_constitution_decision,BEL_rekindle_the_red_flame_cat,GFX_decision_eng_trade_unions_support,100,yes,
BEL_worker_rallies_decision,BEL_rekindle_the_red_flame_cat,GFX_decision_eng_propaganda_campaigns,50,yes,
BEL_increased_union_powers_decision,BEL_rekindle_the_red_flame_cat,GFX_decision_eng_trade_unions_demand,50,yes,
BEL_boost_miner_unions_decision,BEL_rekindle_the_red_flame_cat,GFX_decision_eng_propaganda_campaigns,50,yes,
BEL_boost_construction_unions_decision,BEL_rekindle_the_red_flame_cat,GFX_decision_eng_propaganda_campaigns,50,yes,
BEL_boost_factory_workers_unions_decision,BEL_rekindle_the_red_flame_cat,GFX_decision_eng_propaganda_campaigns,50,yes,
BOL_reintegrate_litoral_department,BOL_bolivian_irredentism,GFX_decision_BOL_reintegrate_litoral_department,100,,Trial of Allegiance
BOL_reintegrate_acre_state,BOL_bolivian_irredentism,GFX_decision_BOL_reintegrate_acre_state,100,,Trial of Allegiance
BOL_establish_arica_department,BOL_bolivian_irredentism,GFX_decision_BOL_establish_arica_department,120,,Trial of Allegiance
BOL_embrace_plurinationalism,political_actions,GFX_decision_SOV_place_hq,120,,Trial of Allegiance
BOL_david_toros_resignation,political_actions,GFX_decision_generic_break_treaty,100,,Trial of Allegiance
BRA_federal_investment_in_rural_state,BRA_industrial_decisions,GFX_decision_gre_paying_ifc_debt,30,yes,
BRA_integralist_support,BRA_ensure_support_cat,GFX_decision_BRA_integralism,20,yes,
BRA_recruit_green_shirts,BRA_ensure_support_cat,GFX_decision_eng_blackshirt_march,20,yes,
BRA_execute_the_cohen_plan,BRA_ensure_support_cat,GFX_decision_generic_prepare_civil_war,,yes,
BRA_deal_with_the_cangaceiro_dec,BRA_cangaceiro_decision_cat,GFX_decision_generic_prepare_civil_war,,,
BRA_cangaceiro_mission,BRA_cangaceiro_decision_cat,GFX_decision_revolt,,,
BRA_washington_accords_mission,BRA_good_neighbor_decisions,GFX_decision_generic_prepare_civil_war,,yes,
BRA_invite_to_mercosul,BRA_mercosul_decisions,GFX_decision_eng_trade_unions_support,20,,
BRA_amazonian_settlement_in_state,BRA_amazonian_settlement_cat,GFX_decision_generic_construction,50,yes,
BRA_jaguar_diplomacy_decision,BRA_jaguar_diplomacy_cat,GFX_decision_eng_trade_unions_support,25,,
BRA_oust_the_empires_decision,BRA_oust_the_empires_decision_cat,GFX_decision_generic_political_rally,50,,
BRA_sway_the_neighbors_decision,BRA_sway_the_neighbors_cat,GFX_decision_generic_prepare_civil_war,50,,
BRA_counter_influence_decision,BRA_counter_influence_cat,GFX_decision_eng_trade_unions_support,100,,
BRA_invite_foreign_mio,BRA_invite_foreign_companies_cat,GFX_decision_generic_industry,30,,
BRA_integrate_state,BRA_america_do_sul_cat,GFX_decision_generic_operation,20,,
BRA_invite_to_ussa,BRA_us_of_south_america_cat,GFX_decision_infiltrate_state,100,,
BRA_invite_to_faction,BRA_us_of_south_america_cat,GFX_decision_eng_trade_unions_support,20,,
BRA_recruit_foreign_legion,BRA_foreign_legion_cat,GFX_decision_generic_prepare_civil_war,,,
rename_guapore_to_rondonia_decision,political_actions,GFX_decision_eng_trade_unions_support,50,yes,
BUL_a_royal_visit,BUL_internal_factions,eng_ally_imperialist_coup,,,
BUL_cooperation_zveno_speech,BUL_internal_factions,GFX_decision_bul_speech_zveno,,,
BUL_cooperation_bs_speech,BUL_internal_factions,GFX_decision_bul_speech_bs,,,
BUL_cooperation_bzns_speech,BUL_internal_factions,GFX_decision_bul_speech_bzns,,,
BUL_cooperation_nsm_speech,BUL_internal_factions,GFX_decision_bul_speech_nsm,,,
BUL_cooperation_zveno_joint_act,BUL_internal_factions,GFX_decision_bul_joint_act_zveno,,,
BUL_cooperation_bs_joint_act,BUL_internal_factions,GFX_decision_bul_joint_act_bs,,,
BUL_cooperation_bzns_joint_act,BUL_internal_factions,GFX_decision_bul_joint_act_bzns,,,
BUL_cooperation_nsm_joint_act,BUL_internal_factions,GFX_decision_bul_joint_act_nsm,,,
BUL_cooperation_bolster_zveno,BUL_internal_factions,GFX_decision_bul_bolster_zveno,,yes,
BUL_cooperation_zveno_social_renovation_directory,BUL_internal_factions,GFX_decision_bul_legalize_zveno,,yes,
BUL_cooperation_bs_legalize_faction,BUL_internal_factions,GFX_decision_bul_legalize_bs,,,
BUL_cooperation_bzns_legalize_faction,BUL_internal_factions,GFX_decision_bul_legalize_bzns,,yes,
BUL_cooperation_nsm_legalize_faction,BUL_internal_factions,GFX_decision_bul_legalize_nsm,,yes,
BUL_cooperation_fund_zveno,BUL_internal_factions,GFX_decision_bul_fund_zveno,,,
BUL_cooperation_fund_bs,BUL_internal_factions,GFX_decision_bul_fund_bs,,,
BUL_cooperation_fund_bzns,BUL_internal_factions,GFX_decision_bul_fund_bzns,,,
BUL_cooperation_fund_nsm,BUL_internal_factions,GFX_decision_bul_fund_nsm,,,
BUL_cooperation_appoint_zveno_members,BUL_internal_factions,GFX_decision_bul_appoint_members_zveno,,yes,
BUL_cooperation_appoint_bs_members,BUL_internal_factions,GFX_decision_bul_appoint_members_bs,,yes,
BUL_cooperation_appoint_bzns_members,BUL_internal_factions,GFX_decision_bul_appoint_members_bzns,,yes,
BUL_cooperation_appoint_nsm_members,BUL_internal_factions,GFX_decision_bul_appoint_members_nsm,,yes,
BUL_cooperation_integrate_zveno,BUL_internal_factions,GFX_decision_bul_integrate_zveno,,yes,
BUL_cooperation_integrate_bs,BUL_internal_factions,GFX_decision_bul_integrate_bs,,yes,
BUL_cooperation_integrate_bzns,BUL_internal_factions,GFX_decision_bul_integrate_bzns,,yes,
BUL_cooperation_integrate_nsm,BUL_internal_factions,GFX_decision_bul_integrate_nsm,,yes,
BUL_opression_discredit_zveno_leaders,BUL_internal_factions,GFX_decision_bul_discredit_zveno,,,
BUL_opression_discredit_bs_leaders,BUL_internal_factions,GFX_decision_bul_discredit_bs,,,
BUL_opression_discredit_bzns_leaders,BUL_internal_factions,GFX_decision_bul_discredit_bzns,,,
BUL_opression_discredit_nsm_leaders,BUL_internal_factions,GFX_decision_bul_discredit_nsm,,,
BUL_opression_dispose_of_zveno_generals,BUL_internal_factions,GFX_decision_bul_ban_media_zveno,,yes,
BUL_opression_ban_bs_media,BUL_internal_factions,GFX_decision_bul_ban_media_bs,,,
BUL_opression_ban_bzns_media,BUL_internal_factions,GFX_decision_bul_ban_media_bzns,,,
BUL_opression_ban_nsm_media,BUL_internal_factions,GFX_decision_bul_ban_media_nsm,,,
BUL_opression_anti_zveno_speech,BUL_internal_factions,GFX_decision_bul_against_zveno,,,
BUL_opression_anti_bs_speech,BUL_internal_factions,GFX_decision_bul_against_bs,,,
BUL_opression_anti_bzns_speech,BUL_internal_factions,GFX_decision_bul_against_bzns,,,
BUL_opression_anti_nsm_speech,BUL_internal_factions,GFX_decision_bul_against_nsm,,,
BUL_opression_imprison_zveno_leaders,BUL_internal_factions,GFX_decision_bul_imprison_leaders_zveno,,yes,
BUL_opression_imprison_bs_leaders,BUL_internal_factions,GFX_decision_bul_imprison_leaders_bs,,yes,
BUL_opression_imprison_bzns_leaders,BUL_internal_factions,GFX_decision_bul_imprison_leaders_bzns,,yes,
BUL_opression_imprison_nsm_leaders,BUL_internal_factions,GFX_decision_bul_imprison_leaders_nsm,,yes,
BUL_opression_raid_zveno_supporters,BUL_internal_factions,GFX_decision_bul_raid_zveno,,,
BUL_opression_raid_bs_supporters,BUL_internal_factions,GFX_decision_bul_raid_bs,,,
BUL_opression_raid_bzns_supporters,BUL_internal_factions,GFX_decision_bul_raid_bzns,,,
BUL_opression_raid_nsm_supporters,BUL_internal_factions,GFX_decision_bul_raid_nsm,,,
BUL_opression_destroy_zveno,BUL_internal_factions,GFX_decision_bul_destroy_zveno,,yes,
BUL_opression_destroy_bs,BUL_internal_factions,GFX_decision_bul_destroy_bs,,yes,
BUL_opression_destroy_bzns,BUL_internal_factions,GFX_decision_bul_destroy_bzns,,yes,
BUL_opression_destroy_nsm,BUL_internal_factions,GFX_decision_bul_destroy_nsm,,yes,
BUL_opression_repress_zveno,BUL_internal_factions,GFX_decision_bul_repress_zveno,,,
BUL_opression_repress_bs,BUL_internal_factions,GFX_decision_bul_repress_bs,,,
BUL_opression_repress_bzns,BUL_internal_factions,GFX_decision_bul_repress_bzns,,,
BUL_opression_repress_nsm,BUL_internal_factions,GFX_decision_bul_repress_nsm,,,
BUL_impending_zveno_coup,BUL_internal_factions,GFX_decision_generic_civil_support,,yes,La Resistance
BUL_repress_imro_propaganda,BUL_macedonian_revolutionary_organizations,GFX_decision_eng_propaganda_campaigns,50,yes,
BUL_repress_imro_persecute_activists,BUL_macedonian_revolutionary_organizations,GFX_decision_generic_police_action,25,yes,
BUL_repress_imro_destroy_organization,BUL_macedonian_revolutionary_organizations,GFX_decision_oppression,25,,
BUL_support_imro_make_contacts,BUL_macedonian_revolutionary_organizations,GFX_decision_generic_political_discourse,50,yes,
BUL_support_imro_supply_activists,BUL_macedonian_revolutionary_organizations,GFX_decision_generic_industry,50,yes,
BUL_support_imro_prepare_bulgarian_occupation,BUL_macedonian_revolutionary_organizations,GFX_decision_generic_nationalism,50,yes,
BUL_support_imro_militias,BUL_macedonian_revolutionary_organizations,GFX_decision_generic_military,50,yes,
BUL_support_imro_garrisons,BUL_macedonian_revolutionary_organizations,GFX_decision_generic_prepare_civil_war,50,yes,
BUL_repress_imro_foreign,BUL_macedonian_revolutionary_organizations_foreign,GFX_decision_generic_police_action,25,yes,
BUL_destroy_imro_foreign,BUL_macedonian_revolutionary_organizations_foreign,GFX_decision_oppression,25,,
BUL_ff_impending_coup_mission,BUL_the_fatherland_front_dec_cat,generic_prepare_civil_war,,yes,
BUL_ff_approaching_zveno_mission,BUL_the_fatherland_front_dec_cat,generic_political_discourse,,yes,
BUL_ff_approaching_bs_mission,BUL_the_fatherland_front_dec_cat,generic_political_discourse,,yes,
BUL_ff_approaching_bzns_mission,BUL_the_fatherland_front_dec_cat,generic_political_discourse,,yes,
BUL_ff_root_out_sympathizers,BUL_the_fatherland_front_dec_cat,generic_military,35,,
BUL_ff_massive_arrests,BUL_the_fatherland_front_dec_cat,generic_arrest,75,,
BUL_ff_deal_the_final_blow,BUL_the_fatherland_front_dec_cat,oppression,75,yes,
BUL_demonstrate_our_policies_of_peace,BUL_rearmament,GFX_decision_generic_form_nation,50,yes,
BUL_negotiate_bulgarian_rearmament,BUL_rearmament,GFX_decision_generic_industry,50,yes,
BUL_pressure_to_lift_army_restrictions,BUL_rearmament,GFX_decision_eng_trade_unions_support,50,yes,
BUL_refuse_army_restrictions,BUL_rearmament,GFX_decision_generic_break_treaty,50,yes,Arms Against Tyranny
BUL_purchase_infantry_equipment,BUL_purchase_equipment,generic_industry,,,
BUL_purchase_artillery,BUL_purchase_equipment,ger_military_buildup,,,
BUL_purchase_military_vehicles,BUL_purchase_equipment,generic_trucks,,,
BUL_purchase_armor,BUL_purchase_equipment,generic_tank,,,
BUL_purchase_aircraft,BUL_purchase_equipment,generic_air,,,
BUL_purchase_ships,BUL_purchase_equipment,GFX_decision_generic_naval,,,Man the Guns
BUL_german_industrial_agreements,BUL_foreign_agreements,generic_factory,,,
BUL_british_industrial_agreements,BUL_foreign_agreements,generic_factory,,,
BUL_soviet_industrial_agreements,BUL_foreign_agreements,generic_factory,,,
BUL_military_agreements,BUL_foreign_agreements,generic_tank,,yes,
BUL_naval_agreements,BUL_foreign_agreements,generic_naval,,yes,
BUL_aircraft_agreements,BUL_foreign_agreements,generic_air,,yes,
BUL_mineral_extraction_in_the_rhodopes,prospect_for_resources,chromium,25,,Battle for the Bosporus
BUL_uranium_concession_agreement,prospect_for_resources,eng_trade_unions_support,0,yes,Battle for the Bosporus
BUL_demand_our_historical_claims,BUL_negotiate_claims_in_the_balkans,hol_draw_up_staff_plans,75,yes,
BUL_secure_occupation_in_balkan_state,BUL_negotiate_claims_in_the_balkans,hol_draw_up_staff_plans,25,yes,
BUL_bulgarian_reintegration_campaign,BUL_bulgarian_administration_of_the_balkans,GFX_decision_generic_nationalism,35,,
BUL_germany_donate_fighters,BUL_align_bulgaria,generic_air,0,yes,
BUL_germany_demand_military_access,BUL_align_bulgaria,hol_draw_up_staff_plans,25,yes,
BUL_germany_demand_replacement_of_bulgarian_prime_minister,BUL_align_bulgaria,eng_trade_unions_demand,5,yes,
BUL_develop_balkan_federation_project,BUL_the_balkan_federation_dream,GFX_decision_eng_trade_unions_support,15,yes,
BUL_balkan_federation_propaganda,BUL_the_balkan_federation_dream,GFX_decision_eng_propaganda_campaigns,50,,
BUL_destabilize_country,BUL_the_balkan_federation_dream,GFX_decision_revolt,50,,
BUL_fight_alongside_country_comrades,BUL_the_balkan_federation_dream,GFX_decision_generic_prepare_civil_war,,yes,
BUL_balkan_federation_industrial_aid,BUL_the_balkan_federation_dream,GFX_decision_generic_factory,15,,
BUL_balkan_federation_economic_aid,BUL_the_balkan_federation_dream,GFX_decision_hol_attract_foreign_investors,15,,
BUL_balkan_federation_military_aid,BUL_the_balkan_federation_dream,GFX_decision_generic_military,15,,
BUL_balkan_federation_demand_turkish_territory,BUL_the_balkan_federation_dream,GFX_decision_generic_military,75,,
BUL_brainwash_political_prisoners,BUL_plot_against_boris_dec_cat,GFX_decision_generic_brainwash,50,yes,
BUL_persuade_faction_members,BUL_plot_against_boris_dec_cat,GFX_decision_hol_attract_foreign_investors,75,yes,
BUL_draw_up_a_plan_for_regicide,BUL_plot_against_boris_dec_cat,GFX_decision_generic_operation,50,yes,
BUL_seek_foreign_support,BUL_plot_against_boris_dec_cat,GFX_decision_eng_trade_unions_support,50,yes,
BUL_execute_plan,BUL_plot_against_boris_dec_cat,GFX_decision_generic_political_discourse,50,yes,
BUL_fate_of_the_balkans_influence_government,BUL_the_fate_of_the_balkans_dec_cat,GFX_decision_generic_political_discourse,15,,
BUL_fate_of_the_balkans_ultimatum,BUL_the_fate_of_the_balkans_dec_cat,GFX_decision_eng_trade_unions_support,35,,
BUL_fate_of_the_balkans_bring_back_state,BUL_the_fate_of_the_balkans_dec_cat,GFX_decision_infiltrate_state,50,,
BUL_fate_of_the_balkans_demand_submission,BUL_the_fate_of_the_balkans_dec_cat,GFX_decision_eng_trade_unions_demand,50,,
BUL_dominance_in_the_black_sea_mission,BUL_dominance_in_the_seas,GFX_decision_generic_operation,,yes,
BUL_dominance_in_the_aegean_sea_mission,BUL_dominance_in_the_seas,GFX_decision_generic_operation,,yes,
BUL_dominance_in_the_adriatic_sea_mission,BUL_dominance_in_the_seas,GFX_decision_generic_operation,,yes,
BUL_appoint_tsankov,political_actions,GFX_decision_generic_speech,50,yes,Battle for the Bosporus
BUL_appoint_georgiev,political_actions,GFX_decision_generic_speech,50,yes,Battle for the Bosporus
BUL_balkan_confederation_industrial_investment,BUL_balkan_confederation,GFX_decision_generic_factory,15,,
BUL_balkan_confederation_capital_injection,BUL_balkan_confederation,GFX_decision_gre_investment_decisions,15,,
BUL_balkan_confederation_balkan_summit,BUL_balkan_confederation,GFX_decision_generic_form_nation,75,,
CHI_Dannes_debugg_fiesta,debug_decisions,generic_nationalism,,,
CHI_release_korea,CHI_anti_imperialism,generic_nationalism,,yes,
CHI_warlord_core_territories,CHI_warlord_core_territories_cat,GFX_decision_generic_form_nation,50,yes,
CHI_warlord_core_manchuria,CHI_warlord_core_territories_cat,GFX_decision_generic_form_nation,50,yes,
CHI_army_reform,CHI_army_reform,generic_prepare_civil_war,0,,
CHI_lessons_of_war,CHI_army_reform,generic_army_support,0,yes,
CHI_bolster_our_ranks,CHI_army_reform,generic_prepare_civil_war,,yes,
