strategic_region_id,name_key,source_file
135,STRATEGICREGION_135,135-Taman Region.txt
136,STRATEGICREGION_136,136-Great Steppe.txt
137,STRATEGICREGION_137,137-Western Steppe.txt
138,STRATEGICREGION_138,138-Ural Region.txt
139,STRATEGICREGION_139,139-South Africa.txt
14,STRATEGICREGION_14,14-TransUrals.txt
140,STRATEGICREGION_140,140-Sub-Sarhan Africa.txt
141,STRATEGICREGION_141,141-East India.txt
142,STRATEGICREGION_142,142-South East Asia.txt
143,STRATEGICREGION_143,143-Eastern China.txt
144,STRATEGICREGION_144,144-Western China.txt
145,STRATEGICREGION_145,145-Central Asia.txt
146,STRATEGICREGION_146,146-Himalayas.txt
147,STRATEGICREGION_147,147-Siberian Region.txt
148,STRATEGICREGION_148,148-Russian Far East.txt
149,STRATEGICREGION_149,149-Eastern Siberia.txt
15,STRATEGICREGION_15,15-Asia.txt
150,STRATEGICREGION_150,150-Artic Russia.txt
151,STRATEGICREGION_151,151-Western Siberia.txt
152,STRATEGICREGION_152,152-Central Steppe.txt
153,STRATEGICREGION_153,153-Northern India.txt
154,STRATEGICREGION_154,154-Home Islands.txt
155,STRATEGICREGION_155,155-Manchuria.txt
156,STRATEGICREGION_156,156-Austrialia.txt
157,STRATEGICREGION_157,157-New Nealand.txt
158,STRATEGICREGION_158,158-Guinea.txt
159,STRATEGICREGION_159,159-Borneo.txt
16,STRATEGICREGION_16,16-North Sea.txt
160,STRATEGICREGION_160,160-Philippines.txt
161,STRATEGICREGION_161,161-Iceland.txt
162,STRATEGICREGION_162,162-Afghanistan Area.txt
163,STRATEGICREGION_163,163-Amazonian Brazil.txt
164,STRATEGICREGION_164,164-South East China.txt
165,STRATEGICREGION_165,165-South West China.txt
166,STRATEGICREGION_166,166-Hudson Bay.txt
167,STRATEGICREGION_167,167-New Guinea.txt
168,STRATEGICREGION_168,168-Adriatic Sea.txt
169,STRATEGICREGION_169,169-Tyrrhenian Sea.txt
17,STRATEGICREGION_17,17-Africa.txt
170,STRATEGICREGION_170,170-Florida Coast.txt
171,STRATEGICREGION_171,171-Northwest Coast.txt
172,STRATEGICREGION_172,172-South Central Pacific.txt
173,STRATEGICREGION_173,173-Eastern North Sea.txt
174,STRATEGICREGION_174,174-Norwegian Coast.txt
175,STRATEGICREGION_175,175-Southeastern Central Pacific.txt
176,STRATEGICREGION_176,176-Central North Pacific.txt
177,STRATEGICREGION_177,177-Western North Pacific.txt
178,STRATEGICREGION_178,178-West Polynesia.txt
179,STRATEGICREGION_179,179-French Polynesia.txt
18,STRATEGICREGION_18,18-Channel.txt
180,STRATEGICREGION_180,180-Micronesian Gap.txt
181,STRATEGICREGION_181,181-Madgascar.txt
182,STRATEGICREGION_182,182-North West Africa.txt
183,STRATEGICREGION_183,183-Central Africa.txt
184,STRATEGICREGION_184,184-South West Africa.txt
185,STRATEGICREGION_185,185-South East Africa.txt
186,STRATEGICREGION_186,186-Korea.txt
187,STRATEGICREGION_187,187-Sumatra.txt
188,STRATEGICREGION_188,188-Malaya.txt
189,STRATEGICREGION_189,189-Burma.txt
19,STRATEGICREGION_19,19-Northern France.txt
190,STRATEGICREGION_190,190-Pakistan.txt
191,STRATEGICREGION_191,191-Northern Norway.txt
192,STRATEGICREGION_192,192-Northern Sweden.txt
193,STRATEGICREGION_193,193-Northern Australia.txt
194,STRATEGICREGION_194,194-Eastern Australia.txt
195,STRATEGICREGION_195,195-Central Australia.txt
196,STRATEGICREGION_196,196-Arabian Coast.txt
197,STRATEGICREGION_197,197-New England.txt
198,STRATEGICREGION_198,198-Midwest.txt
199,STRATEGICREGION_199,199-Rocky Mountains.txt
2,STRATEGICREGION_2,2-Northern England.txt
20,STRATEGICREGION_20,20-Southern France.txt
200,STRATEGICREGION_200,200-Quinghai.txt
201,STRATEGICREGION_201,201-Northern Andes.txt
202,STRATEGICREGION_202,202-Aegean Sea.txt
203,STRATEGICREGION_203,203-Persian Gulf.txt
204,STRATEGICREGION_204,204-Sierra Madre.txt
205,STRATEGICREGION_205,205-Yucatan Peninsula.txt
206,STRATEGICREGION_206,206-Lower Baltic Sea.txt
207,STRATEGICREGION_207,207-Danish Belts.txt
208,STRATEGICREGION_208,208-Western France.txt
209,STRATEGICREGION_209,209-Northwestern Iberia.txt
21,STRATEGICREGION_21,21-Alpine Region.txt
210,STRATEGICREGION_210,210-Southern Iberia.txt
211,STRATEGICREGION_211,211-Gulf Coast.txt
212,STRATEGICREGION_212,212-Central Canada.txt
213,STRATEGICREGION_213,213-Maritimes.txt
214,STRATEGICREGION_214,214-Appalachia.txt
215,STRATEGICREGION_NAMIBIA,215-Namibia.txt
216,STRATEGICREGION_216,216-Upper Nile.txt
217,STRATEGICREGION_217,217-Lake Victoria.txt
218,STRATEGICREGION_218,218-California.txt
219,STRATEGICREGION_219,219-Southern Rockies.txt
22,STRATEGICREGION_22,22-Czechoslovakia.txt
220,STRATEGICREGION_220,220-Labrador and Newfoundland.txt
221,STRATEGICREGION_221,221-Saskatchewan.txt
222,STRATEGICREGION_222,222-Northern Canada.txt
223,STRATEGICREGION_223,223-North South Africa.txt
224,STRATEGICREGION_224,224-Angola.txt
225,STRATEGICREGION_225,225-Tripoli.txt
226,STRATEGICREGION_226,226-West Africa.txt
227,STRATEGICREGION_227,227-Congo.txt
228,STRATEGICREGION_228,228-South Indochina.txt
229,STRATEGICREGION_229,229-Siam.txt
23,STRATEGICREGION_23,23-Italy.txt
230,STRATEGICREGION_230,230-Cape Comorin.txt
231,STRATEGICREGION_231,231-Coromandel Coast.txt
232,STRATEGICREGION_232,232-Levant.txt
233,STRATEGICREGION_233,233-Quebec.txt
234,STRATEGICREGION_234,234-Ontario Region.txt
235,STRATEGICREGION_235,235-British Columbia.txt
236,STRATEGICREGION_236,236-South Arabia.txt
237,STRATEGICREGION_237,237-Hejaz.txt
238,STRATEGICREGION_238,238-East Arabia.txt
239,STRATEGICREGION_239,239-Alborz.txt
24,STRATEGICREGION_24,24-Western Balkans.txt
240,STRATEGICREGION_240,240-Zagros.txt
241,STRATEGICREGION_241,241-Dasht-e kavir.txt
242,STRATEGICREGION_242,242-Northern Manchuria.txt
243,STRATEGICREGION_243,243-Eastern Manchuria.txt
244,STRATEGICREGION_244,244-Chahar.txt
245,STRATEGICREGION_245,245-Shanxi Region.txt
246,STRATEGICREGION_246,246-Central China.txt
247,STRATEGICREGION_247,247-Yantze River Region.txt
248,STRATEGICREGION_248,248-Guangxi.txt
249,STRATEGICREGION_249,249-Yunnan.txt
25,STRATEGICREGION_25,25-Greece.txt
250,STRATEGICREGION_250,250-Kham.txt
251,STRATEGICREGION_251,251-Ngari.txt
252,STRATEGICREGION_252,252-Tien Shan.txt
253,STRATEGICREGION_253,253-Vindhyachal.txt
254,STRATEGICREGION_254,254-Thar Desert.txt
255,STRATEGICREGION_255,255-Amur.txt
256,STRATEGICREGION_256,256-Transbaikal.txt
257,STRATEGICREGION_257,257-Northern Far East.txt
258,STRATEGICREGION_258,258-Okhotsk.txt
259,STRATEGICREGION_259,259-Sakha.txt
26,STRATEGICREGION_26,26-Eastern Balkans.txt
260,STRATEGICREGION_260,260-Western Sakha.txt
261,STRATEGICREGION_261,261-Altai.txt
262,STRATEGICREGION_262,262-Central Siberia.txt
263,STRATEGICREGION_263,263-Eastern Nenetsia.txt
264,STRATEGICREGION_264,264-Komi-Nenetsia.txt
265,STRATEGICREGION_265,265-East Karelia.txt
266,STRATEGICREGION_266,266-Uriankhai.txt
267,STRATEGICREGION_267,267-Tanscaspia.txt
268,STRATEGICREGION_268,268-Ferghana.txt
269,STRATEGICREGION_269,269-Samarkand.txt
27,STRATEGICREGION_27,27-Northern Balkans.txt
270,STRATEGICREGION_270,270-Syr Darya.txt
271,STRATEGICREGION_271,271-South West Congo.txt
272,STRATEGICREGION_272,272-West Congo.txt
273,STRATEGICREGION_273,273-Danakil.txt
274,STRATEGICREGION_274,274-Ogaden.txt
275,STRATEGICREGION_275,275-Jutland Peninsula.txt
276,STRATEGICREGION_276,276-Northern Norrland.txt
277,STRATEGICREGION_277,277-Northern Finland.txt
278,STRATEGICREGION_278,278-Western Finland.txt
279,STRATEGICREGION_279,279-Gulf of Bothnia.txt
28,STRATEGICREGION_28,28-Middle East.txt
280,STRATEGICREGION_280,280-Guiana.txt
281,STRATEGICREGION_281,281-Gran Chaco.txt
282,STRATEGICREGION_282,282-Rio Grande.txt
283,STRATEGICREGION_283,283-Patagonia.txt
284,STRATEGICREGION_284,284-Southern Andes.txt
285,STRATEGICREGION_285,285-Rio Tocantins.txt
286,STRATEGICREGION_286,286-Rio Grande do Norte.txt
287,STRATEGICREGION_287,287-Bolovia.txt
288,STRATEGICREGION_288,288-Central Brazil.txt
289,STRATEGICREGION_289,289-Southern Afghanistan.txt
29,STRATEGICREGION_29,29-Central Mediterranean Sea.txt
290,STRATEGICREGION_290,290-Bengal.txt
291,STRATEGICREGION_291,291-Baluchistan.txt
292,STRATEGICREGION_292,292-Shan States.txt
293,STRATEGICREGION_293,293-Tenasserim.txt
294,STRATEGICREGION_294,294-Rangoon.txt
295,STRATEGICREGION_295,295-Mandalay.txt
296,STRATEGICREGION_296,296-Gujarat.txt
297,STRATEGICREGION_297,297-Eastern-Iranian Range.txt
298,STRATEGICREGION_298,298-Eastern Zagros.txt
3,STRATEGICREGION_3,3-Scotland and Northern Ireland.txt
30,STRATEGICREGION_30,30-Black Sea.txt
31,STRATEGICREGION_31,31-Indian Area.txt
32,STRATEGICREGION_32,32-Southern Ocean.txt
33,STRATEGICREGION_33,33-North America.txt
34,STRATEGICREGION_34,34-Central America.txt
35,STRATEGICREGION_35,35-South America.txt
36,STRATEGICREGION_36,36-Atlantic Ocean.txt
37,STRATEGICREGION_37,37-Baltic States.txt
38,STRATEGICREGION_38,38-Western Poland.txt
39,STRATEGICREGION_39,39-Eastern Poland.txt
4,STRATEGICREGION_4,4-Ireland.txt
40,STRATEGICREGION_40,40-Western Russia.txt
41,STRATEGICREGION_41,41-Northeastern Iberia.txt
42,STRATEGICREGION_42,42-Bay of Biscay.txt
43,STRATEGICREGION_43,43-Western Approaches.txt
44,STRATEGICREGION_44,44-Denmark Strait.txt
45,STRATEGICREGION_45,45-Norwegian Sea.txt
46,STRATEGICREGION_46,46-Barents Sea.txt
47,STRATEGICREGION_47,47-Spanish Coast.txt
48,STRATEGICREGION_48,48-African Coast.txt
49,STRATEGICREGION_49,49-Mid Atlantic 1.txt
5,STRATEGICREGION_5,5-Benelux Region.txt
50,STRATEGICREGION_50,50-Labrador Sea.txt
51,STRATEGICREGION_51,51-Mid atlantic 2.txt
52,STRATEGICREGION_52,52-Gulf of Mexico.txt
53,STRATEGICREGION_53,53-Caribbean.txt
54,STRATEGICREGION_54,54-Eastern Seaboard.txt
55,STRATEGICREGION_55,55-Newfoundland Sea.txt
56,STRATEGICREGION_56,56-Mid Atlandtic 3.txt
57,STRATEGICREGION_57,57-Mid Atlantic 4.txt
58,STRATEGICREGION_58,58-Mid Atlantic 5.txt
59,STRATEGICREGION_59,59-Mid Atlantic 6.txt
6,STRATEGICREGION_6,6-North-West Germany.txt
60,STRATEGICREGION_60,60-West Indian Ocean.txt
61,STRATEGICREGION_61,61-Central Atlantic.txt
62,STRATEGICREGION_62,62-Cape Approach.txt
63,STRATEGICREGION_63,63-Argintine Coast.txt
64,STRATEGICREGION_64,64-Super Southern atlantic 1.txt
65,STRATEGICREGION_65,65-Cape of Africa.txt
66,STRATEGICREGION_66,66-South central atlantic 1.txt
67,STRATEGICREGION_67,67-Super south atlantic 2.txt
68,STRATEGICREGION_68,68-Western Mediterranean Sea.txt
69,STRATEGICREGION_69,69-Eastern mediterranean Sea.txt
7,STRATEGICREGION_7,7-Western Germany.txt
70,STRATEGICREGION_70,70-Caspian Sea.txt
71,STRATEGICREGION_71,71-East Indian Ocean.txt
72,STRATEGICREGION_72,72-Straits of Malacca.txt
73,STRATEGICREGION_73,73-Gulf of Thailand.txt
74,STRATEGICREGION_74,74-South East Indian Ocean.txt
75,STRATEGICREGION_75,75-South China Sea.txt
76,STRATEGICREGION_76,76-East China Sea.txt
77,STRATEGICREGION_77,77-Yellow Sea.txt
78,STRATEGICREGION_78,78-Philippine Sea.txt
79,STRATEGICREGION_79,79-Sea of Japan.txt
8,STRATEGICREGION_8,8-Eastern Germany.txt
80,STRATEGICREGION_80,80-Celebes Sea.txt
81,STRATEGICREGION_81,81-Coral Sea.txt
82,STRATEGICREGION_82,82-Gulf of Carpentaria.txt
83,STRATEGICREGION_83,83-Soloman Sea.txt
84,STRATEGICREGION_84,84-Bismarck Sea.txt
85,STRATEGICREGION_85,85-South West Indian Ocean.txt
86,STRATEGICREGION_86,86-Tasman Sea.txt
87,STRATEGICREGION_87,87-Sea of Okhotsk.txt
88,STRATEGICREGION_88,88-Bering Sea.txt
89,STRATEGICREGION_89,89-Western Seaboard.txt
9,STRATEGICREGION_9,9-Baltic Sea.txt
90,STRATEGICREGION_90,90-Coast of Japan.txt
91,STRATEGICREGION_91,91-Arafura Sea.txt
92,STRATEGICREGION_92,92-Timor Sea.txt
93,STRATEGICREGION_93,93-Banda Sea.txt
94,STRATEGICREGION_94,94-Western Pacific.txt
95,STRATEGICREGION_95,95-Western pacific 2.txt
96,STRATEGICREGION_96,96-North West Pacific.txt
97,STRATEGICREGION_97,97-South West Pacific.txt
98,STRATEGICREGION_98,98-Great Austrialian Blight.txt
99,STRATEGICREGION_99,99-Far Eastern Indian Ocean.txt
