trait_token,parent_token,requirement_type
generic_mio_trait_long_range_engagement_ethos,generic_mio_trait_raiding_capital_ships,any_parent
generic_mio_trait_high_quality_optics,generic_mio_trait_raiding_capital_ships,any_parent
generic_mio_trait_raider_escort_requirements,generic_mio_trait_long_range_engagement_ethos,any_parent
generic_mio_trait_unescorted_raider_requirements,generic_mio_trait_long_range_engagement_ethos,all_parent
generic_mio_trait_unescorted_raider_requirements,generic_mio_trait_high_quality_optics,all_parent
generic_mio_trait_raiding_cruisers,generic_mio_trait_long_range_raiding,any_parent
generic_mio_trait_raiding_cruisers,generic_mio_trait_high_speed_raiding,any_parent
generic_mio_trait_raiding_submarines,generic_mio_trait_high_speed_raiding,any_parent
generic_mio_trait_raiding_submarines,generic_mio_trait_long_range_raiding,any_parent
generic_mio_trait_spotting_tops,generic_mio_trait_raiding_cruisers,all_parent
generic_mio_trait_spotting_tops,generic_mio_trait_raiding_submarines,all_parent
generic_mio_trait_large_torpedo_banks,generic_mio_trait_raiding_submarines,any_parent
generic_mio_trait_mass_produced_raiders,generic_mio_trait_spotting_tops,all_parent
generic_mio_trait_mass_produced_raiders,generic_mio_trait_large_torpedo_banks,all_parent
generic_mio_trait_efficient_fuel_engines,generic_mio_trait_long_range_raiding,all_parent
generic_mio_trait_highly_efficient_diesel_electric_propulsion_systems,generic_mio_trait_high_powered_engines,any_parent
generic_mio_trait_highly_efficient_diesel_electric_propulsion_systems,generic_mio_trait_efficient_fuel_engines,any_parent
generic_mio_trait_high_powered_engines,generic_mio_trait_decalin_fueled_torpedo,all_parent
generic_mio_trait_open_cycle_propulsion,generic_mio_trait_high_powered_engines,any_parent
generic_mio_trait_open_cycle_propulsion,generic_mio_trait_efficient_fuel_engines,any_parent
generic_mio_trait_experimental_anechoic_tiles,generic_mio_trait_highly_efficient_diesel_electric_propulsion_systems,any_parent
generic_mio_trait_experimental_anechoic_tiles,generic_mio_trait_open_cycle_propulsion,any_parent
generic_mio_trait_improved_torpedo_detonators,generic_mio_trait_highly_efficient_diesel_electric_propulsion_systems,any_parent
generic_mio_trait_improved_torpedo_detonators,generic_mio_trait_open_cycle_propulsion,any_parent
generic_mio_trait_simplified_pressure_hull_design,generic_mio_trait_experimental_anechoic_tiles,all_parent
generic_mio_trait_simplified_pressure_hull_design,generic_mio_trait_improved_torpedo_detonators,all_parent
generic_mio_trait_advanced_periscope,generic_mio_trait_long_range_raiding,all_parent
generic_mio_trait_emergency_main_ballast_tank_blow,generic_mio_trait_advanced_periscope,all_parent
generic_mio_trait_radar_warning_receiver,generic_mio_trait_advanced_periscope,all_parent
generic_mio_trait_crash_dive_flood_tanks,generic_mio_trait_emergency_main_ballast_tank_blow,all_parent
generic_mio_trait_crash_dive_flood_tanks,generic_mio_trait_radar_warning_receiver,all_parent
generic_mio_trait_submarine_mass_production,generic_mio_trait_decalin_fueled_torpedo,all_parent
generic_mio_trait_advanced_sonar,generic_mio_trait_decalin_fueled_torpedo,all_parent
generic_mio_trait_deck_guns,generic_mio_trait_submarine_mass_production,all_parent
generic_mio_trait_deck_guns,generic_mio_trait_advanced_sonar,all_parent
generic_mio_trait_large_torpedo_banks,generic_mio_trait_advanced_sonar,all_parent
generic_mio_trait_high_capacity_mine_storage,generic_mio_trait_deck_guns,any_parent
generic_mio_trait_high_capacity_mine_storage,generic_mio_trait_large_torpedo_banks,any_parent
generic_mio_trait_efficient_patrolling_scheme,generic_mio_trait_submarine_hunters_black_sea,all_parent
generic_mio_trait_advanced_sub_scanners,generic_mio_trait_submarine_hunters_black_sea,all_parent
generic_mio_trait_high_altitute_catapult,generic_mio_trait_advanced_sub_scanners,all_parent
generic_mio_trait_light_armor_piercing_guns,generic_mio_trait_advanced_sub_scanners,all_parent
generic_mio_trait_brass_case_reloader,generic_mio_trait_light_armor_piercing_guns,all_parent
generic_mio_trait_brass_case_reloader,generic_mio_trait_piercing_rounds,all_parent
generic_mio_trait_heavy_guns,generic_mio_trait_anti_air_defense,all_parent
generic_mio_advanced_periscope,generic_mio_trait_anti_air_defense,all_parent
generic_mio_trait_piercing_rounds,generic_mio_trait_heavy_guns,all_parent
generic_mio_trait_base_defense,generic_mio_trait_heavy_guns,all_parent
generic_mio_trait_state_sponsored_research,generic_mio_trait_state_sponsored_growth,all_parent
generic_mio_trait_24h_shifts,generic_mio_trait_state_sponsored_growth,all_parent
generic_mio_trait_state_subsidizing,generic_mio_trait_state_sponsored_research,any_parent
generic_mio_trait_state_subsidizing,generic_mio_trait_24h_shifts,any_parent
generic_mio_trait_deck_guns_black_sea,generic_mio_trait_base_defense,any_parent
generic_mio_trait_deck_guns_black_sea,generic_mio_trait_piercing_rounds,any_parent
generic_mio_trait_isolated_firemains,generic_mio_trait_heavy_armored_hull,all_parent
generic_mio_trait_counter_flooding_system,generic_mio_trait_heavy_armored_hull,all_parent
generic_mio_trait_anti_torpedo_bulge,generic_mio_trait_counter_flooding_system,all_parent
generic_mio_trait_anti_torpedo_bulge,generic_mio_trait_isolated_firemains,all_parent
generic_mio_trait_anti_torpedo_bulge,generic_mio_trait_high_powered_steering,all_parent
generic_mio_trait_bulkhead_shoring_procedure,generic_mio_trait_foam_fire_extinguishers,all_parent
generic_mio_trait_high_powered_steering,generic_mio_trait_bulkhead_shoring_procedure,all_parent
generic_mio_trait_flooding_boundries,generic_mio_trait_bulkhead_shoring_procedure,all_parent
generic_mio_trait_protected_pumps,generic_mio_trait_flooding_boundries,all_parent
generic_mio_trait_advanced_scanners,generic_mio_trait_foam_fire_extinguishers,all_parent
generic_mio_trait_high_velocity_guns,generic_mio_trait_advanced_scanners,all_parent
generic_mio_trait_capital_destroyer_shells,generic_mio_trait_high_velocity_guns,all_parent
generic_mio_trait_deck_guns,generic_mio_trait_high_velocity_guns,all_parent
generic_mio_trait_naval_all_purpose_defense_systems,generic_mio_trait_high_velocity_guns,all_parent
generic_mio_trait_fighter_aircraft_specialists,generic_mio_trait_conservative_designs,all_parent
generic_mio_trait_high_speed_design,generic_mio_trait_fighter_aircraft_specialists,all_parent
generic_mio_trait_agility_wing_design,generic_mio_trait_fighter_aircraft_specialists,all_parent
generic_mio_trait_fighter_aircraft_production,generic_mio_trait_high_speed_design,any_parent
generic_mio_trait_fighter_aircraft_production,generic_mio_trait_agility_wing_design,any_parent
generic_mio_trait_bomber_aircraft_specialists,generic_mio_trait_conservative_designs,all_parent
generic_mio_trait_bomb_trucks,generic_mio_trait_bomber_aircraft_specialists,all_parent
generic_mio_trait_fast_bombers,generic_mio_trait_bomber_aircraft_specialists,all_parent
generic_mio_trait_bomber_aircraft_production,generic_mio_trait_bomb_trucks,any_parent
generic_mio_trait_bomber_aircraft_production,generic_mio_trait_fast_bombers,any_parent
generic_mio_trait_naval_aircraft_specialists,generic_mio_trait_conservative_designs,all_parent
generic_mio_trait_naval_strike,generic_mio_trait_naval_aircraft_specialists,all_parent
generic_mio_trait_naval_air_patrol,generic_mio_trait_naval_aircraft_specialists,all_parent
generic_mio_trait_naval_aircraft_production,generic_mio_trait_naval_strike,any_parent
generic_mio_trait_naval_aircraft_production,generic_mio_trait_naval_air_patrol,any_parent
generic_mio_trait_fixed_tailwheels,generic_mio_trait_expanded_production_facilities,all_parent
generic_mio_trait_removable_wings,generic_mio_trait_fixed_tailwheels,all_parent
generic_mio_trait_maritime_duties,generic_mio_trait_liquid_cooled_engines,all_parent
generic_mio_trait_fuselage_ordinance_rack,generic_mio_trait_advanced_aerodynamics,all_parent
generic_mio_trait_ongoing_developmental_upgrades,generic_mio_trait_liquid_cooled_engines,all_parent
generic_mio_trait_ongoing_developmental_upgrades,generic_mio_trait_advanced_aerodynamics,all_parent
generic_mio_trait_heavier_airframe,generic_mio_trait_ongoing_developmental_upgrades,all_parent
generic_mio_trait_maximum_wing_loads,generic_mio_trait_ongoing_developmental_upgrades,all_parent
generic_mio_trait_gun_pods,generic_mio_trait_ongoing_developmental_upgrades,all_parent
generic_mio_trait_multi_purpose_aircraft,generic_mio_trait_heavier_airframe,any_parent
generic_mio_trait_multi_purpose_aircraft,generic_mio_trait_maximum_wing_loads,any_parent
generic_mio_trait_multi_purpose_aircraft,generic_mio_trait_gun_pods,any_parent
generic_mio_trait_fighter_specialization,generic_mio_trait_heavier_airframe,any_parent
generic_mio_trait_fighter_specialization,generic_mio_trait_maximum_wing_loads,any_parent
generic_mio_trait_fighter_specialization,generic_mio_trait_gun_pods,any_parent
generic_mio_trait_close_air_support_specialization,generic_mio_trait_heavier_airframe,any_parent
generic_mio_trait_close_air_support_specialization,generic_mio_trait_maximum_wing_loads,any_parent
generic_mio_trait_close_air_support_specialization,generic_mio_trait_gun_pods,any_parent
generic_mio_trait_flexible_design,generic_mio_trait_multi_purpose_aircraft,all_parent
generic_mio_trait_fighter_expertise,generic_mio_trait_fighter_specialization,all_parent
generic_mio_trait_close_air_support_expertise,generic_mio_trait_close_air_support_specialization,all_parent
generic_mio_trait_multi_role_transport,generic_mio_trait_mixed_material_construction,all_parent
generic_mio_trait_refined_engines,generic_mio_trait_mixed_material_construction,all_parent
generic_mio_trait_expanded_cockpit,generic_mio_trait_twin_tail,any_parent
generic_mio_trait_expanded_cockpit,generic_mio_trait_reinforced_wing_braces,any_parent
generic_mio_trait_metal_nose_replacement,generic_mio_trait_twin_tail,any_parent
generic_mio_trait_metal_nose_replacement,generic_mio_trait_reinforced_wing_braces,any_parent
generic_mio_trait_streamlined_fuselage,generic_mio_trait_refined_engines,all_parent
generic_mio_trait_streamlined_fuselage,generic_mio_trait_expanded_cockpit,any_parent
generic_mio_trait_streamlined_fuselage,generic_mio_trait_metal_nose_replacement,any_parent
generic_mio_trait_adaptable_build,generic_mio_trait_streamlined_fuselage,all_parent
generic_mio_trait_heavy_fighter_specialization,generic_mio_trait_streamlined_fuselage,all_parent
generic_mio_trait_tactical_bomber_specialization,generic_mio_trait_streamlined_fuselage,all_parent
generic_mio_trait_high_frequency_direction_finding,generic_mio_trait_skip_bombing,all_parent
generic_mio_trait_standardized_alloys,generic_mio_trait_reinforced_frames,any_parent
generic_mio_trait_transport_conversions,generic_mio_trait_standardized_alloys,any_parent
generic_mio_trait_drop_hammer_alloy_straining,generic_mio_trait_standardized_alloys,any_parent
generic_mio_trait_refined_secondary_aluminium,generic_mio_trait_drop_hammer_alloy_straining,any_parent
generic_mio_trait_high_quality_aluminium_alloys,generic_mio_trait_drop_hammer_alloy_straining,any_parent
generic_mio_trait_pressurized_cockpit,generic_mio_trait_reinforced_frames,any_parent
generic_mio_trait_pressurized_cockpit,generic_mio_trait_extended_rear_fuselage,any_parent
generic_mio_trait_advanced_turbochargers,generic_mio_trait_pressurized_cockpit,any_parent
generic_mio_trait_auto_levelled_bombsights,generic_mio_trait_extended_rear_fuselage,any_parent
generic_mio_trait_air_deployed_sonobuoys,generic_mio_trait_extended_rear_fuselage,any_parent
generic_mio_trait_cockpit_controlled_remote_gun_turrets,generic_mio_trait_auto_levelled_bombsights,any_parent
generic_mio_trait_cockpit_controlled_remote_gun_turrets,generic_mio_trait_air_deployed_sonobuoys,any_parent
generic_mio_trait_flying_fortress,generic_mio_trait_cockpit_controlled_remote_gun_turrets,any_parent
generic_mio_trait_advanced_instruments,generic_mio_trait_cockpit_controlled_remote_gun_turrets,any_parent
generic_mio_trait_automatic_pull_out,generic_mio_trait_canopies_and_firewalls,all_parent
generic_mio_trait_integrated_armor_designs,generic_mio_trait_canopies_and_firewalls,all_parent
generic_mio_trait_heavily_armed_aircraft,generic_mio_trait_gull_wings,any_parent
generic_mio_trait_heavily_armed_aircraft,generic_mio_trait_reinforced_wings,any_parent
generic_mio_trait_air_brakes,generic_mio_trait_gull_wings,all_parent
generic_mio_trait_wingborne_fuel_tanks,generic_mio_trait_reinforced_wings,all_parent
generic_mio_trait_bombs,generic_mio_trait_air_brakes,any_parent
generic_mio_trait_bombs,generic_mio_trait_wingborne_fuel_tanks,any_parent
generic_mio_trait_rockets,generic_mio_trait_wingborne_fuel_tanks,any_parent
generic_mio_trait_rockets,generic_mio_trait_air_brakes,any_parent
generic_mio_cluster_bombs,generic_mio_heat_bombs,all_parent
generic_mio_trait_patrol_fuel_tanks,generic_mio_trait_navigation_equipment,all_parent
generic_mio_trait_internal_torpedo_mountings,generic_mio_trait_navigation_equipment,all_parent
generic_mio_trait_high_speed_torpedo_release,generic_mio_trait_patrol_fuel_tanks,any_parent
generic_mio_trait_high_speed_torpedo_release,generic_mio_trait_internal_torpedo_mountings,any_parent
generic_mio_trait_reinforced_fuselage,generic_mio_trait_navigation_equipment,all_parent
generic_mio_agility_wing_design,generic_mio_trait_reinforced_fuselage,all_parent
generic_mio_strength_wing_design,generic_mio_trait_reinforced_fuselage,all_parent
generic_mio_high_capacity_ammunition_stores,generic_mio_agility_wing_design,all_parent
generic_mio_larger_bomb_loads,generic_mio_strength_wing_design,all_parent
generic_mio_air_cooled_engines,generic_mio_trait_navigation_equipment,all_parent
generic_mio_multi_stage_super_charger,generic_mio_air_cooled_engines,all_parent
generic_mio_water_injection,generic_mio_multi_stage_super_charger,all_parent
generic_mio_advanced_materials,generic_mio_water_injection,all_parent
generic_mio_trait_light_airframe,generic_mio_trait_armored_cockpit,all_parent
generic_mio_trait_light_airframe,generic_mio_trait_escort_designs,all_parent
generic_mio_trait_medium_airframe,generic_mio_trait_armored_cockpit,all_parent
generic_mio_trait_medium_airframe,generic_mio_trait_escort_designs,all_parent
generic_mio_trait_hardened_frames,generic_mio_trait_light_airframe,all_parent
generic_mio_trait_belly_shackles,generic_mio_trait_light_airframe,all_parent
generic_mio_trait_oversized_propeller,generic_mio_trait_light_airframe,all_parent
generic_mio_trait_variable_pitch_propellers,generic_mio_trait_medium_airframe,all_parent
generic_mio_trait_upgraded_air_air_weapons,generic_mio_trait_medium_airframe,all_parent
generic_mio_trait_reinforced_wing_hardpoints,generic_mio_trait_medium_airframe,all_parent
generic_mio_trait_transport_duties,generic_mio_trait_medium_airframe,all_parent
generic_mio_trait_upgraded_engines,generic_mio_trait_light_airframe,any_parent
generic_mio_trait_upgraded_engines,generic_mio_trait_medium_airframe,any_parent
generic_mio_trait_not_enough_guns_never_enough_guns,generic_mio_trait_light_airframe,any_parent
generic_mio_trait_not_enough_guns_never_enough_guns,generic_mio_trait_medium_airframe,any_parent
generic_mio_trait_lengthened_wings,generic_mio_trait_upgraded_engines,all_parent
generic_mio_trait_bubble_canopy,generic_mio_trait_not_enough_guns_never_enough_guns,all_parent
generic_mio_trait_fighter_specialization,generic_mio_trait_lengthened_wings,all_parent
generic_mio_trait_fighter_specialization,generic_mio_trait_bubble_canopy,all_parent
generic_mio_trait_bomber_specialization,generic_mio_trait_lengthened_wings,all_parent
generic_mio_trait_bomber_specialization,generic_mio_trait_bubble_canopy,all_parent
generic_mio_trait_high_octane_fuels,generic_mio_trait_bigger_engines,all_parent
generic_mio_trait_fuel_injection_engines,generic_mio_trait_bigger_engines,all_parent
generic_mio_trait_subsidiary_suppliers,generic_mio_trait_fuel_injection_engines,all_parent
generic_mio_trait_shortened_wings,generic_mio_trait_cantilever_wing_structure,all_parent
generic_mio_trait_shortened_wings,generic_mio_trait_minimum_weapon_requirements,all_parent
generic_mio_trait_interceptor,generic_mio_trait_shortened_wings,all_parent
generic_mio_trait_gunboat,generic_mio_trait_shortened_wings,all_parent
generic_mio_trait_stiffened_wings,generic_mio_trait_interceptor,any_parent
generic_mio_trait_stiffened_wings,generic_mio_trait_gunboat,any_parent
generic_mio_trait_fighter_interceptors,generic_mio_trait_stiffened_wings,all_parent
generic_mio_trait_improved_air_frame_strength,generic_mio_trait_variable_dihedral,all_parent
generic_mio_trait_glider_hook_modifications,generic_mio_trait_extra_cargo_doors,all_parent
generic_mio_trait_low_drag_wings,generic_mio_trait_variable_dihedral,all_parent
generic_mio_trait_strafing_techniques,generic_mio_trait_improved_air_frame_strength,all_parent
generic_mio_trait_strafing_techniques,generic_mio_trait_high_capacity_ammunition,all_parent
generic_mio_trait_long_range_modifications,generic_mio_trait_large_rudders_and_flaps,all_parent
generic_mio_trait_anti_interception_tactics,generic_mio_trait_low_drag_wings,all_parent
generic_mio_trait_high_explosive_payload,generic_mio_trait_strafing_techniques,all_parent
generic_mio_trait_long_range_fighters,generic_mio_trait_advanced_production_techniques,all_parent
