from_province_id,to_province_id,railway_level
11679,541,1
541,9692,1
9660,11663,1
11663,9676,1
9676,6720,1
6720,3700,1
3700,11666,1
9660,6703,1
6703,682,1
682,3670,1
3670,9611,1
9611,11581,1
11581,3654,2
3654,6650,2
6650,9627,2
6626,599,1
599,9627,1
9648,9646,2
9646,596,2
596,3654,2
3654,6650,2
6650,9627,2
11581,3654,2
3654,596,2
596,9646,2
9646,9648,2
619,3623,1
3623,6670,1
6670,11625,1
11625,9660,1
11581,624,1
624,9595,1
9595,6647,1
6647,619,1
619,3617,2
3617,11580,2
11580,11586,2
9606,11787,1
11787,3617,1
3617,619,1
3601,3592,2
3592,11581,2
6626,11735,1
11735,11564,1
11564,13252,1
13252,3601,1
3601,6611,1
6611,984,1
984,3974,1
3974,3924,1
3882,11832,2
11832,9906,2
9906,9602,2
9602,6634,1
6634,11583,1
11583,11586,1
3882,3833,1
3833,3526,1
3526,11818,1
4109,3988,2
3988,1109,2
1109,976,2
976,863,2
863,6930,2
6930,3844,2
3844,10163,2
10163,11818,2
9602,11887,2
11887,11868,2
11868,965,2
965,949,2
949,3971,1
3971,3952,1
3952,3819,1
3819,6842,1
6842,9769,1
9769,649,1
649,9783,1
949,3908,2
3908,3937,2
3937,6923,2
9833,6895,2
6895,3893,2
3893,11905,2
11905,9862,2
9862,6923,2
3663,9617,2
657,6677,1
6677,11603,1
11603,9617,1
9548,6761,1
6761,744,1
744,3741,1
3741,6747,1
6747,9701,1
9701,11652,1
11652,9651,1
9651,3663,1
3663,3636,1
3636,3639,1
3639,637,1
637,3645,1
3645,11657,1
11657,3649,1
3649,9606,1
3663,660,1
660,6695,1
6695,6709,1
6709,11639,1
11639,676,1
676,11622,1
11622,693,1
693,6711,1
6711,3709,1
3709,3696,1
3696,11644,2
11644,699,2
699,6716,2
6716,716,2
716,9660,2
746,713,1
713,3696,1
3581,6586,1
6586,11691,1
11691,3548,1
3548,746,1
6314,3288,1
9483,3354,1
3354,6314,1
6332,11265,1
11265,348,1
348,3288,1
9340,9240,2
9240,9317,2
9317,11291,2
11291,3074,2
3074,496,2
496,3152,2
3152,11426,2
11426,11127,2
11127,11443,2
11443,4640,2
4640,126,1
126,3120,1
3120,181,1
181,11080,1
11080,6174,1
6174,3151,1
11105,6108,1
6108,9194,1
9194,3083,1
3151,3060,1
3060,9100,1
9100,9206,1
9206,6082,1
6082,11056,1
11056,9183,1
9183,9073,1
9073,67,1
67,9167,1
9167,6144,1
6144,9129,1
9129,11105,1
11370,277,1
277,6340,1
6340,3320,1
362,3380,2
3380,3351,2
3351,6347,2
6347,6321,2
6321,9290,2
9290,6567,2
6567,524,2
524,3544,2
6558,17,2
17,11515,2
11515,493,2
493,9508,2
9508,9400,2
9400,3544,2
6558,388,1
388,11232,1
11232,279,1
279,3324,1
3324,389,1
389,3380,1
3380,362,1
11467,6464,1
6464,13205,1
13205,9427,1
9427,11430,2
11430,6416,2
6416,467,2
467,3544,2
6464,9567,1
9567,3583,1
9427,11413,2
11413,3410,2
3410,6499,2
6499,6522,2
6522,3434,2
3434,9468,2
9468,11479,2
11479,9558,2
9558,422,2
422,11441,2
11441,6546,2
6546,3392,2
3544,524,1
524,402,1
402,9544,1
9544,3392,1
3501,13070,1
13070,11333,1
11333,6103,1
9458,507,1
507,9239,1
9239,6103,1
540,3463,1
3463,9484,1
9484,6351,1
6351,11471,1
11471,9239,1
9239,6103,1
3369,11471,1
11471,9239,1
9239,6103,1
6103,9239,1
9239,6221,1
6221,6270,1
6270,9297,1
3369,7239,1
7239,9297,1
6103,11374,3
11374,221,3
221,271,3
9297,11345,1
11345,9315,1
6103,11221,1
11221,296,1
296,9322,1
9322,364,1
364,11382,1
11382,9315,1
3369,6378,1
6378,377,1
377,3241,1
3241,6301,1
6301,3301,1
3301,3205,1
3205,6384,1
9315,11382,1
11382,9269,1
9269,11297,1
6384,6335,1
6335,6399,1
6399,11332,1
11332,11218,1
351,11299,1
11299,11378,1
11378,9392,1
11218,9350,1
9350,9237,1
9237,6395,1
6395,3273,1
9392,9383,1
9383,3273,1
3273,9383,1
9383,6300,1
6300,3150,1
3150,11136,1
3273,9383,1
9383,159,1
159,11306,1
11306,9075,1
3379,3242,1
3242,3359,1
3359,11293,1
3379,3242,1
3242,385,1
7394,9284,2
9284,6313,2
6313,9310,2
9310,303,2
303,3342,2
3342,11293,2
3392,11247,2
11247,11301,2
11301,11357,2
11357,11386,2
11386,266,2
266,395,2
395,6332,2
11301,347,1
347,13206,1
13206,3393,1
3320,9274,1
9274,3393,1
11370,11216,1
11216,9236,1
9236,9304,1
11301,347,2
347,318,2
318,3309,2
3309,9304,2
11399,3559,2
3559,3521,2
3521,12562,2
12562,524,2
524,3544,2
11399,6580,1
6580,536,1
536,11479,1
3458,3559,1
3559,3521,1
3521,12562,1
12562,524,1
524,3544,1
310,6459,1
6459,3219,1
3219,6326,1
6326,6249,1
6249,9323,1
9323,11241,1
11241,323,2
323,6293,2
6293,11234,2
11202,11097,1
11097,3053,1
3053,6139,1
6139,181,1
181,11080,1
11080,6174,1
6174,3151,1
11234,9331,1
9331,320,1
320,9234,1
9234,11109,1
11109,117,1
117,6197,1
6197,79,1
79,6174,1
6174,3151,1
11349,11326,1
11326,366,1
366,3358,1
3358,11282,1
11282,6380,1
11349,6264,1
6264,3235,1
3235,9287,1
9287,11234,1
11370,294,2
294,11322,2
11322,3331,2
3331,11220,1
11220,11290,1
11290,306,1
11241,9241,1
9241,3331,1
3331,9289,1
383,295,1
295,11070,1
11070,69,1
69,147,1
147,3007,1
3007,11184,1
11184,6115,1
9096,6151,1
6151,9036,1
9036,3094,1
3094,9204,1
9204,9103,1
9103,6115,1
6115,11078,1
11078,9157,1
9157,27,1
27,11037,1
11037,3059,1
3059,9170,1
9170,6145,1
6145,122,1
11028,9157,1
9157,11078,1
11078,6115,1
11028,9227,1
9227,11206,1
11206,9139,1
9139,3022,1
192,6055,1
6055,101,1
101,3095,1
3095,11155,1
11155,9226,1
9226,9186,1
9186,3104,1
3104,9108,1
9108,6083,1
6083,6161,1
6161,9220,1
9220,11067,1
11067,118,1
118,11185,1
11185,6063,1
6063,130,1
130,205,1
205,3108,1
6050,9149,1
9149,3182,1
3182,11091,1
11091,9117,1
9117,49,1
49,9051,1
9051,125,1
125,9035,1
9035,3108,1
9197,11068,1
11068,149,1
149,3151,1
9197,70,1
70,11059,1
11059,11153,1
11153,6057,1
6057,90,1
90,11159,1
11159,9118,1
9118,3033,1
3033,11092,1
11092,155,1
155,11175,1
11175,6021,1
6021,94,1
94,9195,1
9195,3189,1
3189,86,1
86,3008,1
3008,9162,1
9162,3121,1
3121,6181,1
6181,9201,1
9201,11117,1
11117,3134,1
11105,9129,1
9129,11172,1
11172,3025,1
3025,6138,1
6138,9038,1
9038,6013,1
6013,3122,1
9073,9183,1
9183,165,1
165,11043,1
11043,141,1
141,11141,1
11202,415,1
415,592,1
592,9485,1
9485,6408,1
6408,308,1
308,11291,1
11291,9317,1
9317,9240,1
9240,9340,1
306,3362,2
3362,6387,2
6387,9272,2
9272,11254,2
11254,335,2
335,401,2
401,3327,2
3327,3391,2
3391,6380,2
11370,216,2
216,386,2
386,3350,2
6373,3350,2
6373,6344,1
6344,9288,1
9289,3378,2
3378,6373,2
6373,6319,2
6319,9249,2
9249,3507,2
3507,9568,2
9568,441,2
441,6593,2
6593,3470,2
3470,11543,2
11543,6435,2
6435,572,2
572,513,2
513,422,2
422,6580,2
6580,11399,2
11479,491,2
491,11427,2
11427,438,2
438,462,2
462,6429,2
6429,476,2
476,11464,2
11464,11514,2
11514,6593,2
11479,6483,1
6483,11411,1
11411,11550,1
11550,9548,1
476,9423,2
9423,9576,2
9576,754,2
754,741,2
741,11670,2
476,9481,2
9481,11490,2
11490,504,2
504,525,2
3686,705,2
705,3722,2
3722,568,2
568,737,2
737,3573,2
3573,588,2
588,11405,2
11405,11437,1
11437,6423,2
6423,6451,2
6451,3452,2
3452,458,2
458,11438,2
11438,9465,2
9465,504,2
504,525,2
11437,453,2
453,472,2
472,3449,2
3449,3466,2
3466,6474,2
6474,6493,2
6493,9430,2
9430,9417,2
9417,585,2
585,3587,2
3587,3765,2
3765,3752,2
3752,3734,2
3734,9696,1
9696,3760,1
3760,719,1
3672,3682,1
3682,3668,1
7661,7495,2
7495,4458,2
4458,7624,2
7624,4463,2
4463,3668,2
3653,772,2
772,654,2
654,9626,2
9626,1530,2
1530,1599,2
1599,11708,1
11708,1539,1
1539,11674,1
11674,11645,1
11645,4477,1
4477,4614,1
4614,1536,1
1536,7661,1
3672,9647,2
9647,685,2
685,11633,2
11633,714,2
714,9691,2
9691,9694,2
9694,735,2
735,9709,2
9709,6781,2
6781,3587,2
3587,585,2
585,9417,2
413,3527,2
9417,11434,2
11434,11450,2
11450,11459,2
11459,3519,2
3519,3540,2
3540,6591,2
6591,11412,2
11412,11475,2
11475,3527,2
6474,3479,2
3479,502,2
502,6530,2
6530,3531,2
3531,418,2
3527,9552,2
9552,9489,2
9489,11439,2
11439,3409,2
3409,9556,2
9556,418,2
418,9449,1
9449,3492,1
3492,558,1
558,3580,1
11504,3557,1
3557,11397,1
11397,418,1
525,11557,2
11557,9543,2
9543,11530,2
11530,9519,2
9519,559,2
559,11504,2
525,11557,2
11557,6458,2
6458,11489,2
9288,546,2
546,9506,2
9506,3480,2
3480,11489,2
11489,6508,2
6508,9566,2
9566,3225,2
3225,288,2
288,3306,2
3306,3335,2
3335,6252,2
6252,11284,2
11284,11235,2
11235,11300,2
11300,3263,2
3263,6348,2
6348,6414,2
6414,6380,2
3580,9260,2
9260,9328,2
9328,9355,2
9355,9411,2
9411,11242,2
11242,3292,2
3292,6262,2
6262,6396,2
6396,6290,2
6290,9348,2
9348,6414,2
6414,6380,2
413,6341,2
6341,6398,2
6398,6230,2
6230,6279,2
6279,3356,2
3356,9330,2
9330,11268,2
11268,9282,2
9282,9348,2
9348,6414,2
6414,6380,2
3578,3426,2
3426,9460,2
9460,433,2
433,11408,2
11408,9422,2
6398,6369,2
6369,9339,2
9339,9312,2
9312,11436,2
11436,471,2
471,9422,2
121,252,2
252,6356,2
6356,9278,2
9278,9378,2
9378,6380,2
121,9122,2
9122,11099,2
11099,2,2
2,9168,2
9168,2996,2
2996,9131,2
9197,70,2
70,11174,2
11174,3140,2
3140,172,2
172,9107,2
9107,3163,2
3163,11083,2
11083,81,2
81,9207,2
9207,11189,2
11189,9131,2
6380,301,2
301,11362,2
11362,6316,2
6316,378,2
378,280,2
280,3370,2
3370,3268,2
3268,6392,2
6392,6295,2
6295,6299,2
6299,11375,2
11344,3303,2
3303,11375,2
6380,301,2
301,3290,2
3290,9235,2
9235,11217,2
11217,214,2
214,3339,2
3339,6362,2
6362,6410,2
6410,9407,2
9407,11344,2
9422,313,2
313,3304,2
3304,6353,2
6353,6382,2
6382,9409,2
9409,9258,2
9258,9286,2
9286,6391,2
6391,11262,2
11262,11394,2
11394,11344,2
11344,11277,2
11277,3352,2
3352,6374,2
6374,6253,2
6253,9373,2
9373,11356,2
11356,11243,2
11243,6338,2
9258,9286,2
9286,11269,2
11269,3317,2
3317,286,2
286,3276,2
3276,6302,2
6302,6226,2
6226,6275,2
6275,9243,2
9243,11225,2
11225,11348,2
11348,393,2
393,3357,2
3357,3330,2
3330,6515,2
6515,9420,2
9420,12128,2
11225,11377,2
11377,11256,2
11256,3265,2
3265,4324,2
4324,4283,2
4283,1305,2
1305,1278,2
1278,12117,2
12117,10142,2
10142,10329,2
10329,12157,2
12157,9292,2
9292,1233,2
1233,12287,2
12287,10133,2
10133,1821,2
12128,3563,2
3563,4322,2
4322,1254,2
1254,4294,2
4294,7370,2
7370,10253,2
7243,4300,2
4300,4374,2
4374,4227,2
4227,1314,2
1314,12294,2
12294,10253,2
6338,260,2
260,9336,2
9336,3251,2
3251,3300,2
3300,6388,2
6388,6278,2
6278,7403,2
7403,206,2
206,1380,2
1380,10286,2
10286,10314,2
10314,361,2
361,3280,2
3280,7320,2
7320,10133,2
10133,1821,2
7375,11228,2
11228,237,2
237,3280,2
3280,7320,2
7320,10133,2
10133,1821,2
7375,11352,2
11352,7346,2
7346,12203,2
12203,9293,2
9293,370,2
370,3027,2
3027,3139,2
3139,272,2
272,6124,2
9131,2996,2
2996,11143,2
11143,143,2
143,3135,2
3135,9200,2
9200,11075,2
11075,73,2
73,3066,2
3066,3103,2
3103,6089,2
6089,9214,2
9214,6124,2
7477,7563,1
7563,4599,1
4599,12491,1
12491,12333,1
3951,6808,2
6808,9806,2
9806,11784,2
11784,11747,2
3951,6871,1
6871,11811,1
11811,11829,1
9878,3983,2
3983,3951,2
9878,3876,1
3876,11860,1
11860,940,1
940,9755,1
9755,6807,1
6807,9763,1
9763,9830,1
9830,961,1
961,6956,1
6956,11746,1
1821,9553,2
9553,1543,2
1543,10189,2
10189,4824,2
9292,1327,2
1327,1292,2
3325,3277,1
3277,6364,1
1292,1775,2
1775,1294,2
1294,12521,2
12521,4780,2
4780,7800,2
7800,1709,2
1709,10696,2
4824,7846,2
7846,7774,2
7774,3472,2
3472,10600,2
10600,12652,2
12652,4700,2
4700,10696,2
10696,12679,2
12679,1733,2
1733,1860,2
1860,7825,2
7825,7274,2
1459,10148,2
10148,10366,2
10366,12397,2
12397,7597,2
7597,12329,2
12329,7657,2
7657,7600,2
7600,7243,2
1459,11687,2
11687,7682,2
7682,7501,2
7501,1554,2
12333,8099,1
8099,10414,1
10414,1649,1
1649,10470,1
10470,1554,1
7274,4866,2
4866,7757,2
7757,12631,2
12631,7886,2
7886,10712,2
10712,10639,2
10639,12691,2
12691,12621,1
12621,1876,1
1876,1813,1
1813,10549,1
10549,10661,1
10661,12540,1
12540,4797,1
4797,1762,2
1762,4837,2
4837,10528,2
10528,4766,2
4766,12507,2
12507,7860,2
7860,10683,2
10683,7786,2
7786,4677,2
957,6989,2
6989,11750,2
11750,6684,2
6684,664,2
664,6686,2
6686,11643,2
11643,10466,2
10466,12189,2
7642,4434,2
4434,4621,2
4621,1425,2
1425,4406,2
4406,7381,2
7642,10135,1
10135,12293,1
12293,4390,1
4390,4608,1
12299,13376,2
13376,4424,2
4424,7427,2
7427,4412,2
4412,10297,2
10297,1376,2
1376,12215,2
12215,7342,2
7342,1291,2
1291,12144,2
12144,7236,2
7236,4371,2
4371,1337,2
1337,4312,2
4312,12201,2
12201,1281,2
1281,1308,2
1308,4388,2
4388,12220,2
12220,12122,2
12122,1427,2
1427,7408,2
7408,10250,2
10250,10221,2
10221,12173,2
12173,10411,2
10411,7572,2
7572,7353,2
7353,7492,2
7492,1488,2
1330,12127,1
12127,4336,1
4336,1403,1
1330,10154,2
10154,10283,2
10283,10344,2
1330,12127,2
12127,1417,2
1417,12256,2
12256,4626,2
4626,4585,2
4585,1492,2
1492,7469,1
7469,12464,1
12464,1082,1
1082,4425,1
1185,4075,1
4075,12075,1
12075,10075,1
10075,12319,1
12319,1522,1
1522,4501,1
4501,7446,1
7446,1319,1
1182,9998,3
9998,7157,2
7157,7087,2
7087,12097,2
12097,10125,2
7072,11960,2
10125,7187,2
7187,4172,2
4172,4142,2
4142,11960,2
7072,12031,2
12031,7212,2
7212,11946,2
11946,1092,2
1092,10052,2
10052,11985,2
11960,1136,2
7072,1136,1
1136,9985,2
9985,10055,2
10055,1167,2
1167,7145,2
7145,1191,2
1191,7050,2
7050,11985,2
1025,7110,2
7110,9950,1
4102,1183,2
1183,12006,2
12006,11925,2
11925,4164,2
4164,7110,2
11985,1025,1
11960,4142,2
4142,4172,2
4172,7102,2
7102,10032,2
1182,4188,2
4188,4100,2
4100,7016,2
7016,4118,2
4118,1024,2
1024,7169,2
7169,12056,2
12056,3848,2
3848,6994,2
1117,11930,2
11930,4067,2
4067,1063,2
1063,9865,2
9865,6994,2
12007,1117,2
12007,10128,1
10128,10032,1
10125,7187,2
7187,10015,2
10015,11989,2
11989,12007,2
1182,1097,2
1097,11908,2
11908,11989,2
11989,12007,2
3962,7532,2
7532,10444,2
10444,10512,1
