autonomy_key,modifier_key,modifier_value
autonomy_puppet,research_sharing_per_country_bonus_factor,-0.5
autonomy_puppet,faction_influence_contribution_factor,-0.25
autonomy_reichskommissariat,autonomy_manpower_share,0.9
autonomy_reichskommissariat,can_master_build_for_us,1
autonomy_reichskommissariat,conscription_factor,-0.5
autonomy_reichskommissariat,extra_trade_to_overlord_factor,1.0
autonomy_reichskommissariat,overlord_trade_cost_factor,-0.9
autonomy_reichskommissariat,cic_to_overlord_factor,0.25
autonomy_reichskommissariat,mic_to_overlord_factor,0.65
autonomy_reichskommissariat,license_subject_master_purchase_cost,-1
autonomy_reichskommissariat,autonomy_gain_global_factor,-0.3
autonomy_reichskommissariat,peace_score_ratio_transferred_to_overlord,0.1
autonomy_reichskommissariat,lend_lease_tension_with_overlord,-0.20
autonomy_reichskommissariat,resistance_target,-0.1
autonomy_reichskommissariat,faction_influence_contribution_factor,-0.5
autonomy_reichsprotectorate,autonomy_manpower_share,0.7
autonomy_reichsprotectorate,can_master_build_for_us,1
autonomy_reichsprotectorate,conscription_factor,-0.25
autonomy_reichsprotectorate,extra_trade_to_overlord_factor,0.6
autonomy_reichsprotectorate,overlord_trade_cost_factor,-0.6
autonomy_reichsprotectorate,cic_to_overlord_factor,0.25
autonomy_reichsprotectorate,license_subject_master_purchase_cost,-1
autonomy_reichsprotectorate,autonomy_gain_global_factor,-0.3
autonomy_reichsprotectorate,peace_score_ratio_transferred_to_overlord,0.05
autonomy_reichsprotectorate,lend_lease_tension_with_overlord,-0.30
autonomy_reichsprotectorate,faction_influence_contribution_factor,-0.25
autonomy_satellite,autonomy_manpower_share,0.4
autonomy_satellite,extra_trade_to_overlord_factor,0.4
autonomy_satellite,overlord_trade_cost_factor,-0.4
autonomy_satellite,license_subject_master_purchase_cost,-1
autonomy_satellite,autonomy_gain_global_factor,-0.3
autonomy_satellite,peace_score_ratio_transferred_to_overlord,0.1
autonomy_satellite,lend_lease_tension_with_overlord,-0.30
autonomy_satellite,faction_influence_contribution_factor,-0.25
autonomy_sea_integrated_warlord_subject,autonomy_manpower_share,0.9
autonomy_sea_integrated_warlord_subject,can_master_build_for_us,1
autonomy_sea_integrated_warlord_subject,extra_trade_to_overlord_factor,1.0
autonomy_sea_integrated_warlord_subject,overlord_trade_cost_factor,-0.9
autonomy_sea_integrated_warlord_subject,peace_score_ratio_transferred_to_overlord,0.1
autonomy_sea_integrated_warlord_subject,lend_lease_tension_with_overlord,-0.40
autonomy_sea_integrated_warlord_subject,research_sharing_per_country_bonus_factor,-0.1
autonomy_sea_integrated_warlord_subject,faction_influence_contribution_factor,-0.75
autonomy_sea_warlord_subject,autonomy_manpower_share,0.5
autonomy_sea_warlord_subject,can_master_build_for_us,1
autonomy_sea_warlord_subject,extra_trade_to_overlord_factor,0.5
autonomy_sea_warlord_subject,overlord_trade_cost_factor,-0.45
autonomy_sea_warlord_subject,peace_score_ratio_transferred_to_overlord,0.05
autonomy_sea_warlord_subject,lend_lease_tension_with_overlord,-0.40
autonomy_sea_warlord_subject,research_sharing_per_country_bonus_factor,-0.1
autonomy_sea_warlord_subject,faction_influence_contribution_factor,-0.5
autonomy_supervised_state,autonomy_manpower_share,0.0
autonomy_supervised_state,extra_trade_to_overlord_factor,0.25
autonomy_supervised_state,overlord_trade_cost_factor,-0.25
autonomy_supervised_state,autonomy_gain,2
autonomy_supervised_state,master_ideology_drift,0.3
autonomy_supervised_state,peace_score_ratio_transferred_to_overlord,0.15
autonomy_supervised_state,lend_lease_tension_with_overlord,-0.20
autonomy_supervised_state,faction_influence_contribution_factor,-0.25
autonomy_wtt_imperial_associate,autonomy_manpower_share,0.7
autonomy_wtt_imperial_associate,can_master_build_for_us,1
autonomy_wtt_imperial_associate,extra_trade_to_overlord_factor,0.6
autonomy_wtt_imperial_associate,overlord_trade_cost_factor,-0.6
autonomy_wtt_imperial_associate,cic_to_overlord_factor,0.25
autonomy_wtt_imperial_associate,autonomy_gain_global_factor,-0.3
autonomy_wtt_imperial_associate,peace_score_ratio_transferred_to_overlord,0.05
autonomy_wtt_imperial_associate,lend_lease_tension_with_overlord,-0.20
autonomy_wtt_imperial_associate,faction_influence_contribution_factor,-0.5
autonomy_wtt_imperial_protectorate,autonomy_manpower_share,0.9
autonomy_wtt_imperial_protectorate,can_master_build_for_us,1
autonomy_wtt_imperial_protectorate,extra_trade_to_overlord_factor,1.0
autonomy_wtt_imperial_protectorate,overlord_trade_cost_factor,-0.9
autonomy_wtt_imperial_protectorate,cic_to_overlord_factor,0.25
autonomy_wtt_imperial_protectorate,mic_to_overlord_factor,0.65
autonomy_wtt_imperial_protectorate,autonomy_gain_global_factor,-0.3
autonomy_wtt_imperial_protectorate,peace_score_ratio_transferred_to_overlord,0.2
autonomy_wtt_imperial_protectorate,lend_lease_tension_with_overlord,-0.10
autonomy_wtt_imperial_protectorate,faction_influence_contribution_factor,-0.5
autonomy_wtt_imperial_subject,autonomy_manpower_share,0.5
autonomy_wtt_imperial_subject,can_master_build_for_us,1
autonomy_wtt_imperial_subject,extra_trade_to_overlord_factor,0.25
autonomy_wtt_imperial_subject,overlord_trade_cost_factor,-0.25
autonomy_wtt_imperial_subject,cic_to_overlord_factor,0.1
autonomy_wtt_imperial_subject,mic_to_overlord_factor,0.25
autonomy_wtt_imperial_subject,peace_score_ratio_transferred_to_overlord,0.1
autonomy_wtt_imperial_subject,lend_lease_tension_with_overlord,-0.3
autonomy_wtt_imperial_subject,faction_influence_contribution_factor,-0.1
autonomy_austro_hungarian_subject,autonomy_manpower_share,0.9
autonomy_austro_hungarian_subject,can_master_build_for_us,1
autonomy_austro_hungarian_subject,extra_trade_to_overlord_factor,1.0
autonomy_austro_hungarian_subject,overlord_trade_cost_factor,-0.9
autonomy_austro_hungarian_subject,peace_score_ratio_transferred_to_overlord,0.1
autonomy_austro_hungarian_subject,lend_lease_tension_with_overlord,-0.40
autonomy_austro_hungarian_subject,research_sharing_per_country_bonus_factor,-0.5
autonomy_austro_hungarian_subject,faction_influence_contribution_factor,-0.75
autonomy_eu_member,autonomy_manpower_share,0.5
autonomy_eu_member,can_master_build_for_us,1
autonomy_eu_member,extra_trade_to_overlord_factor,0.5
autonomy_eu_member,overlord_trade_cost_factor,-0.45
autonomy_eu_member,peace_score_ratio_transferred_to_overlord,0.05
autonomy_eu_member,lend_lease_tension_with_overlord,-0.40
autonomy_eu_member,research_sharing_per_country_bonus_factor,0.1
autonomy_eu_member,faction_influence_contribution_factor,-0.1
autonomy_volkskommissariat,autonomy_manpower_share,0.9
autonomy_volkskommissariat,can_master_build_for_us,1
autonomy_volkskommissariat,conscription_factor,-0.5
autonomy_volkskommissariat,extra_trade_to_overlord_factor,1.0
autonomy_volkskommissariat,overlord_trade_cost_factor,-0.9
autonomy_volkskommissariat,cic_to_overlord_factor,0.5
autonomy_volkskommissariat,mic_to_overlord_factor,0.5
autonomy_volkskommissariat,license_subject_master_purchase_cost,-1
autonomy_volkskommissariat,autonomy_gain_global_factor,-0.3
autonomy_volkskommissariat,peace_score_ratio_transferred_to_overlord,0.1
autonomy_volkskommissariat,lend_lease_tension_with_overlord,-0.20
autonomy_volkskommissariat,faction_influence_contribution_factor,-0.5
