trait_token,owner_key,owner_type,trait_type,name,icon,special_trait_background,position_x,position_y,relative_position_id
generic_mio_medium_assault_gun_low_slung_superstructure_and_fighting_compartment,generic_assault_guns_organization,template,trait,generic_mio_medium_assault_gun_low_slung_superstructure_and_fighting_compartment,GFX_generic_mio_department_icon_tank_general_production,,1,1,generic_mio_lighter_materials_assault_guns
generic_mio_medium_assault_gun_75_mm_43M_tank_gun,generic_assault_guns_organization,template,trait,generic_mio_medium_assault_gun_75_mm_43M_tank_gun,GFX_generic_mio_department_icon_tank_general_quality,,2,2,generic_mio_trait_medium_assault_gun_improvements
generic_mio_trait_heavy_assault_gun_improvements,generic_assault_guns_organization,template,trait,generic_mio_trait_heavy_assault_gun_improvements,GFX_generic_mio_department_icon_tank_heavy_tank_quality,,6,0,generic_mio_trait_light_assault_gun_improvements
generic_mio_trait_fully_cast_turret_assault_gun,generic_assault_guns_organization,template,trait,generic_mio_trait_fully_cast_turret_assault_gun,GFX_generic_mio_department_icon_tank_general_armor,,0,1,generic_mio_trait_heavy_assault_gun_improvements
generic_mio_trait_assault_gun_improved_tracks,generic_assault_guns_organization,template,trait,generic_mio_trait_assault_gun_improved_tracks,GFX_generic_mio_department_icon_tank_general_engine,,1,2,generic_mio_trait_heavy_assault_gun_improvements
generic_mio_medium_assault_gun_rocket_tubes,generic_assault_guns_organization,template,trait,generic_mio_medium_assault_gun_rocket_tubes,GFX_generic_mio_department_icon_tank_general_weapons,,0,1,generic_mio_medium_assault_gun_low_slung_superstructure_and_fighting_compartment
generic_mio_trait_improved_boogies,generic_mobile_tank_organization,template,trait,generic_mio_trait_improved_boogies,GFX_generic_mio_department_icon_tank_general_engine,,1,0,
generic_mio_engine_optimization,generic_mobile_tank_organization,template,trait,generic_mio_engine_optimization,GFX_generic_mio_trait_icon_maximum_speed,,,,generic_mio_trait_improved_boogies
generic_mio_reduced_fuel_usage,generic_mobile_tank_organization,template,trait,generic_mio_reduced_fuel_usage,GFX_generic_mio_trait_icon_fuel_consumption,,1,1,generic_mio_trait_improved_boogies
generic_mio_improved_ventilation,generic_mobile_tank_organization,template,trait,generic_mio_improved_ventilation,GFX_generic_mio_trait_icon_defense,,1,1,generic_mio_engine_optimization
generic_mio_improved_tracks_and_suspension,generic_mobile_tank_organization,template,trait,generic_mio_improved_tracks_and_suspension,GFX_generic_mio_trait_icon_breakthrough,,0,2,generic_mio_improved_ventilation
generic_mio_sloping_armor,generic_mobile_tank_organization,template,trait,generic_mio_sloping_armor,GFX_generic_mio_trait_icon_defense,,6,0,generic_mio_trait_improved_boogies
generic_mio_lighter_materials,generic_mobile_tank_organization,template,trait,generic_mio_lighter_materials,GFX_generic_mio_trait_icon_resources,,,,generic_mio_sloping_armor
generic_mio_armor_hardening_process,generic_mobile_tank_organization,template,trait,generic_mio_armor_hardening_process,GFX_generic_mio_trait_icon_armor_value,,1,1,generic_mio_sloping_armor
generic_mio_enlarged_breech,generic_mobile_tank_organization,template,trait,generic_mio_enlarged_breech,GFX_generic_mio_trait_icon_soft_attack,,1,1,generic_mio_lighter_materials
generic_mio_gunner_sight_improvements,generic_mobile_tank_organization,template,trait,generic_mio_gunner_sight_improvements,GFX_generic_mio_department_icon_tank_general_quality,,0,2,generic_mio_enlarged_breech
generic_mio_quality_assurance_routines,generic_mobile_tank_organization,template,trait,generic_mio_quality_assurance_routines,GFX_generic_mio_trait_icon_reliability,,3,1,generic_mio_trait_improved_boogies
generic_mio_streamlined_production,generic_mobile_tank_organization,template,trait,generic_mio_streamlined_production,GFX_generic_mio_department_icon_tank_general_technology,,0,2,generic_mio_quality_assurance_routines
generic_mio_trait_power_traverse,generic_medium_tank_organization,template,trait,generic_mio_trait_power_traverse,GFX_generic_mio_trait_icon_breakthrough,,1,0,
generic_mio_trait_all_round_cupola,generic_medium_tank_organization,template,trait,generic_mio_trait_all_round_cupola,GFX_generic_mio_trait_icon_breakthrough,,0,1,generic_mio_trait_power_traverse
generic_mio_trait_simplified_turret_design,generic_medium_tank_organization,template,trait,generic_mio_trait_simplified_turret_design,GFX_generic_mio_trait_icon_production_capacity,,0,1,generic_mio_trait_all_round_cupola
generic_mio_trait_specialist_shells,generic_medium_tank_organization,template,trait,generic_mio_trait_specialist_shells,GFX_generic_mio_trait_icon_hard_attack,,,,generic_mio_trait_simplified_turret_design
generic_mio_trait_improved_gun_metallurgy,generic_medium_tank_organization,template,trait,generic_mio_trait_improved_gun_metallurgy,GFX_generic_mio_trait_icon_ap_attack,,1,1,generic_mio_trait_simplified_turret_design
generic_mio_trait_advanced_shells,generic_medium_tank_organization,template,trait,generic_mio_trait_advanced_shells,GFX_generic_mio_trait_icon_ap_attack,,1,1,generic_mio_trait_specialist_shells
generic_mio_trait_armor_steel_working,generic_medium_tank_organization,template,trait,generic_mio_trait_armor_steel_working,GFX_generic_mio_trait_icon_production_capacity,,4,0,generic_mio_trait_power_traverse
generic_mio_trait_spaced_armor,generic_medium_tank_organization,template,trait,generic_mio_trait_spaced_armor,GFX_generic_mio_trait_icon_armor_value,,,,generic_mio_trait_armor_steel_working
generic_mio_trait_crew_survival_layout,generic_medium_tank_organization,template,trait,generic_mio_trait_crew_survival_layout,GFX_generic_mio_trait_icon_defense,,1,0,generic_mio_trait_spaced_armor
generic_mio_trait_sloped_side_armor,generic_medium_tank_organization,template,trait,generic_mio_trait_sloped_side_armor,GFX_generic_mio_trait_icon_breakthrough,,2,0,generic_mio_trait_spaced_armor
generic_mio_trait_truck_engines,generic_medium_tank_organization,template,trait,generic_mio_trait_truck_engines,GFX_generic_mio_trait_icon_reliability,,2,0,generic_mio_trait_armor_steel_working
generic_mio_trait_aircraft_engines,generic_medium_tank_organization,template,trait,generic_mio_trait_aircraft_engines,GFX_generic_mio_trait_icon_maximum_speed,,2,0,generic_mio_trait_truck_engines
generic_mio_trait_improved_suspension,generic_medium_tank_organization,template,trait,generic_mio_trait_improved_suspension,GFX_generic_mio_trait_icon_reliability,,1,1,generic_mio_trait_truck_engines
generic_mio_trait_wide_tracks,generic_heavy_tank_organization,template,trait,generic_mio_trait_wide_tracks,GFX_generic_mio_trait_icon_reliability,,1,0,
generic_mio_trait_fire_extinguishers,generic_heavy_tank_organization,template,trait,generic_mio_trait_fire_extinguishers,GFX_generic_mio_department_icon_tank_heavy_tank_quality,,0,4,generic_mio_trait_wide_tracks
generic_mio_trait_one_piece_hull_side_coverings,generic_heavy_tank_organization,template,trait,generic_mio_trait_one_piece_hull_side_coverings,GFX_generic_mio_department_icon_tank_heavy_tank_technology,,4,0,generic_mio_trait_wide_tracks
generic_mio_trait_simplified_transmission_system,generic_heavy_tank_organization,template,trait,generic_mio_trait_simplified_transmission_system,GFX_generic_mio_department_icon_tank_heavy_tank_line_efficiency,,2,2,generic_mio_trait_wide_tracks
generic_mio_trait_improved_engine_output,generic_heavy_tank_organization,template,trait,generic_mio_trait_improved_engine_output,GFX_generic_mio_trait_icon_maximum_speed,,0,2,generic_mio_trait_simplified_transmission_system
generic_mio_trait_sloping_armor,generic_heavy_tank_organization,template,trait,generic_mio_trait_sloping_armor,GFX_generic_mio_department_icon_tank_general_armor,,0,2,generic_mio_trait_one_piece_hull_side_coverings
generic_mio_trait_improved_crew_ergonomics,generic_heavy_tank_organization,template,trait,generic_mio_trait_improved_crew_ergonomics,GFX_generic_mio_trait_icon_breakthrough,,,,generic_mio_trait_sloping_armor
generic_mio_trait_reinforced_construction,generic_heavy_tank_organization,template,trait,generic_mio_trait_reinforced_construction,GFX_generic_mio_trait_icon_armor_value,,1,2,generic_mio_trait_sloping_armor
generic_mio_trait_fully_cast_turret,generic_heavy_tank_organization,template,trait,generic_mio_trait_fully_cast_turret,GFX_generic_mio_department_icon_tank_general_armor,,3,0,generic_mio_trait_one_piece_hull_side_coverings
generic_mio_trait_commander_cupola,generic_heavy_tank_organization,template,trait,generic_mio_trait_commander_cupola,GFX_generic_mio_department_icon_tank_general_armor,,,,generic_mio_trait_fully_cast_turret
generic_mio_trait_simplified_layout,generic_heavy_tank_organization,template,trait,generic_mio_trait_simplified_layout,GFX_generic_mio_department_icon_tank_heavy_tank_line_efficiency,,1,2,generic_mio_trait_fully_cast_turret
generic_mio_trait_high_explosive_shells,generic_heavy_tank_organization,template,trait,generic_mio_trait_high_explosive_shells,GFX_generic_mio_department_icon_tank_general_weapons,,0,2,generic_mio_trait_commander_cupola
generic_mio_trait_apcr_hvap_shells,generic_heavy_tank_organization,template,trait,generic_mio_trait_apcr_hvap_shells,GFX_generic_mio_trait_icon_ap_attack,,0,2,generic_mio_trait_simplified_layout
generic_mio_trait_enemy_tank_refitting,generic_tank_refurbishment_plant_organization,template,trait,generic_mio_trait_enemy_tank_refitting,GFX_generic_mio_department_icon_tank_general_conversion,,1,0,
generic_mio_trait_efficient_scrap_recycling,generic_tank_refurbishment_plant_organization,template,trait,generic_mio_trait_efficient_scrap_recycling,GFX_generic_mio_trait_icon_hardness,,,,generic_mio_trait_enemy_tank_refitting
generic_mio_trait_high_volume_smelter,generic_tank_refurbishment_plant_organization,template,trait,generic_mio_trait_high_volume_smelter,GFX_generic_mio_department_icon_tank_general_production,,0,1,generic_mio_trait_efficient_scrap_recycling
generic_mio_trait_high_powered_engine_production,generic_tank_refurbishment_plant_organization,template,trait,generic_mio_trait_high_powered_engine_production,GFX_generic_mio_trait_icon_maximum_speed,,1,2,generic_mio_trait_enemy_tank_refitting
generic_mio_trait_heavy_duty_machine_tools,generic_tank_refurbishment_plant_organization,template,trait,generic_mio_trait_heavy_duty_machine_tools,GFX_generic_mio_department_icon_tank_general_production,,1,1,generic_mio_trait_high_volume_smelter
generic_mio_trait_multi_plant_cooperation,generic_tank_refurbishment_plant_organization,template,trait,generic_mio_trait_multi_plant_cooperation,GFX_generic_mio_department_icon_tank_general_line_efficiency,,0,1,generic_mio_trait_heavy_duty_machine_tools
generic_mio_trait_standardized_secondary_armament,generic_tank_refurbishment_plant_organization,template,trait,generic_mio_trait_standardized_secondary_armament,GFX_generic_mio_trait_icon_breakthrough,,3,0,generic_mio_trait_enemy_tank_refitting
generic_mio_trait_mass_small_arms_ammunition_production,generic_tank_refurbishment_plant_organization,template,trait,generic_mio_trait_mass_small_arms_ammunition_production,GFX_generic_mio_trait_icon_build_cost_ic,,0,2,generic_mio_trait_standardized_secondary_armament
generic_mio_trait_plant_tech_exchange,generic_tank_refurbishment_plant_organization,template,trait,generic_mio_trait_plant_tech_exchange,GFX_generic_mio_department_icon_facilities,,2,0,generic_mio_trait_standardized_secondary_armament
generic_mio_trait_24h_rotation_shifts,generic_tank_refurbishment_plant_organization,template,trait,generic_mio_trait_24h_rotation_shifts,GFX_generic_mio_trait_icon_production_capacity,,0,2,generic_mio_trait_plant_tech_exchange
generic_mio_trait_dual_plant_main_armament_production,generic_tank_refurbishment_plant_organization,template,trait,generic_mio_trait_dual_plant_main_armament_production,GFX_generic_mio_trait_icon_soft_attack,,1,2,generic_mio_trait_mass_small_arms_ammunition_production
generic_mio_trait_long_distance_escort,generic_tank_refurbishment_plant_organization,template,trait,generic_mio_trait_long_distance_escort,GFX_generic_mio_trait_icon_anti_air_attack,,2,0,generic_mio_trait_plant_tech_exchange
generic_mio_trait_barrels_of_hell,generic_tank_refurbishment_plant_organization,template,trait,generic_mio_trait_barrels_of_hell,GFX_generic_mio_trait_icon_production_capacity,,0,4,generic_mio_trait_long_distance_escort
generic_mio_trait_long_range_cruising,generic_task_force_ship_organization,template,trait,generic_mio_trait_long_range_cruising,GFX_generic_mio_trait_icon_naval_range,,0,0,
generic_mio_trait_high_speed_cruising,generic_task_force_ship_organization,template,trait,generic_mio_trait_high_speed_cruising,GFX_generic_mio_trait_icon_maximum_speed,,2,0,generic_mio_trait_long_range_cruising
generic_mio_trait_splinter_protection,generic_task_force_ship_organization,template,trait,generic_mio_trait_splinter_protection,GFX_generic_mio_trait_icon_armor_value,,1,2,generic_mio_trait_long_range_cruising
generic_mio_trait_transom_stern,generic_task_force_ship_organization,template,trait,generic_mio_trait_transom_stern,GFX_generic_mio_trait_icon_maximum_speed,,,,generic_mio_trait_splinter_protection
generic_mio_trait_underway_replenishment_equipment,generic_task_force_ship_organization,template,trait,generic_mio_trait_underway_replenishment_equipment,GFX_generic_mio_trait_icon_fuel_consumption,,1,2,generic_mio_trait_splinter_protection
generic_mio_trait_secondary_fire_director_control,generic_task_force_ship_organization,template,trait,generic_mio_trait_secondary_fire_director_control,GFX_generic_mio_trait_icon_anti_air_attack,,5,0,generic_mio_trait_long_range_cruising
generic_mio_trait_flight_deck_edge_aa_mounts,generic_task_force_ship_organization,template,trait,generic_mio_trait_flight_deck_edge_aa_mounts,GFX_generic_mio_department_icon_ship_carrier_offense,,,,generic_mio_trait_secondary_fire_director_control
generic_mio_trait_gyro_stabilized_mounts,generic_task_force_ship_organization,template,trait,generic_mio_trait_gyro_stabilized_mounts,GFX_generic_mio_trait_icon_lg_attack,,0,1,generic_mio_trait_flight_deck_edge_aa_mounts
generic_mio_trait_rapid_fire_guns,generic_task_force_ship_organization,template,trait,generic_mio_trait_rapid_fire_guns,GFX_generic_mio_department_icon_ship_general_offense,,1,1,generic_mio_trait_secondary_fire_director_control
generic_mio_trait_advanced_fitting_works,generic_task_force_ship_organization,template,trait,generic_mio_trait_advanced_fitting_works,GFX_generic_mio_department_icon_ship_general_production,,0,1,generic_mio_trait_rapid_fire_guns
generic_mio_trait_carrier_flight_operations_center,generic_task_force_ship_organization,template,trait,generic_mio_trait_carrier_flight_operations_center,GFX_generic_mio_trait_icon_max_strength,,1,2,generic_mio_trait_gyro_stabilized_mounts
generic_mio_trait_primary_fire_director_control,generic_task_force_ship_organization,template,trait,generic_mio_trait_primary_fire_director_control,GFX_generic_mio_trait_icon_hg_attack,,3,0,generic_mio_trait_secondary_fire_director_control
generic_mio_trait_high_velocity_guns,generic_task_force_ship_organization,template,trait,generic_mio_trait_high_velocity_guns,GFX_generic_mio_trait_icon_ap_attack,,0,1,generic_mio_trait_primary_fire_director_control
generic_mio_trait_external_armor_belt,generic_battle_line_ship_organization,template,trait,generic_mio_trait_external_armor_belt,GFX_generic_mio_trait_icon_armor_value,,0,0,
generic_mio_trait_internal_armor_belt,generic_battle_line_ship_organization,template,trait,generic_mio_trait_internal_armor_belt,GFX_generic_mio_department_icon_ship_capital_ship_armor,,2,0,generic_mio_trait_external_armor_belt
generic_mio_trait_hardened_critical_components,generic_battle_line_ship_organization,template,trait,generic_mio_trait_hardened_critical_components,GFX_generic_mio_trait_icon_naval_torpedo_damage_reduction_factor,,1,2,generic_mio_trait_external_armor_belt
generic_mio_trait_advanced_hydrodynamic_design,generic_battle_line_ship_organization,template,trait,generic_mio_trait_advanced_hydrodynamic_design,GFX_generic_mio_trait_icon_maximum_speed,,,,generic_mio_trait_hardened_critical_components
generic_mio_trait_advanced_armor_design,generic_battle_line_ship_organization,template,trait,generic_mio_trait_advanced_armor_design,GFX_generic_mio_trait_icon_armor_value,,1,2,generic_mio_trait_hardened_critical_components
generic_mio_trait_anti_air_layout,generic_battle_line_ship_organization,template,trait,generic_mio_trait_anti_air_layout,GFX_generic_mio_trait_icon_anti_air_attack,,4,0,generic_mio_trait_external_armor_belt
generic_mio_trait_secondary_battery_layout,generic_battle_line_ship_organization,template,trait,generic_mio_trait_secondary_battery_layout,GFX_generic_mio_trait_icon_lg_attack,,2,0,generic_mio_trait_anti_air_layout
generic_mio_trait_gyro_stabilized_mounts,generic_battle_line_ship_organization,template,trait,generic_mio_trait_gyro_stabilized_mounts,GFX_generic_mio_department_icon_ship_capital_ship_offense,,1,1,generic_mio_trait_anti_air_layout
generic_mio_trait_secondary_fire_director_control,generic_battle_line_ship_organization,template,trait,generic_mio_trait_secondary_fire_director_control,GFX_generic_mio_department_icon_ship_capital_ship_offense,,0,1,generic_mio_trait_gyro_stabilized_mounts
generic_mio_trait_combat_information_center,generic_battle_line_ship_organization,template,trait,generic_mio_trait_combat_information_center,GFX_generic_mio_trait_icon_max_strength,,0,2,generic_mio_trait_secondary_fire_director_control
generic_mio_trait_primary_battery_layout,generic_battle_line_ship_organization,template,trait,generic_mio_trait_primary_battery_layout,GFX_generic_mio_trait_icon_hg_attack,,2,0,generic_mio_trait_secondary_battery_layout
generic_mio_trait_super_heavy_shells,generic_battle_line_ship_organization,template,trait,generic_mio_trait_super_heavy_shells,GFX_generic_mio_trait_icon_hg_attack,,,,generic_mio_trait_primary_battery_layout
generic_mio_trait_semi_armor_piercing_shells,generic_battle_line_ship_organization,template,trait,generic_mio_trait_semi_armor_piercing_shells,GFX_generic_mio_trait_icon_lg_attack,,1,0,generic_mio_trait_super_heavy_shells
generic_mio_trait_high_velocity_guns,generic_battle_line_ship_organization,template,trait,generic_mio_trait_high_velocity_guns,GFX_generic_mio_trait_icon_ap_attack,,2,0,generic_mio_trait_super_heavy_shells
generic_mio_trait_submarine_hunters,generic_escort_ship_organization,template,trait,generic_mio_trait_submarine_hunters,GFX_generic_mio_trait_icon_sub_attack,,1,0,
generic_mio_trait_high_speed_mine_hunting_equipment,generic_escort_ship_organization,template,trait,generic_mio_trait_high_speed_mine_hunting_equipment,GFX_generic_mio_trait_icon_sub_visibility,,0,2,generic_mio_trait_submarine_hunters
generic_mio_trait_advanced_hydrodynamic_design,generic_escort_ship_organization,template,trait,generic_mio_trait_advanced_hydrodynamic_design,GFX_generic_mio_trait_icon_maximum_speed,,0,2,generic_mio_trait_high_speed_mine_hunting_equipment
generic_mio_trait_fleet_escorts,generic_escort_ship_organization,template,trait,generic_mio_trait_fleet_escorts,GFX_generic_mio_department_icon_ship_screen_ship_offense,,5,0,generic_mio_trait_submarine_hunters
generic_mio_trait_anti_air_ships,generic_escort_ship_organization,template,trait,generic_mio_trait_anti_air_ships,GFX_generic_mio_trait_icon_anti_air_attack,,,,generic_mio_trait_fleet_escorts
generic_mio_trait_escort_in_force,generic_escort_ship_organization,template,trait,generic_mio_trait_escort_in_force,GFX_generic_mio_trait_icon_lg_attack,,2,0,generic_mio_trait_anti_air_ships
generic_mio_trait_anti_air_layout,generic_escort_ship_organization,template,trait,generic_mio_trait_anti_air_layout,GFX_generic_mio_trait_icon_anti_air_attack,,2,0,generic_mio_trait_escort_in_force
generic_mio_trait_gyro_stabilized_mounts,generic_escort_ship_organization,template,trait,generic_mio_trait_gyro_stabilized_mounts,GFX_generic_mio_department_icon_ship_screen_ship_offense,,0,1,generic_mio_trait_anti_air_layout
generic_mio_trait_improved_anti_air_gun_mounting,generic_escort_ship_organization,template,trait,generic_mio_trait_improved_anti_air_gun_mounting,GFX_generic_mio_trait_icon_anti_air_attack,,0,2,generic_mio_trait_anti_air_ships
generic_mio_trait_mass_production,generic_escort_ship_organization,template,trait,generic_mio_trait_mass_production,GFX_generic_mio_department_icon_ship_screen_ship_production,,1,0,generic_mio_trait_improved_anti_air_gun_mounting
generic_mio_trait_improved_light_gun_mounting,generic_escort_ship_organization,template,trait,generic_mio_trait_improved_light_gun_mounting,GFX_generic_mio_department_icon_ship_screen_ship_offense,,2,0,generic_mio_trait_mass_production
generic_mio_trait_long_range_raiding,generic_raider_ship_organization,template,trait,generic_mio_trait_long_range_raiding,GFX_generic_mio_department_icon_ship_general_engine,,1,0,
generic_mio_trait_high_speed_raiding,generic_raider_ship_organization,template,trait,generic_mio_trait_high_speed_raiding,GFX_generic_mio_trait_icon_maximum_speed,,6,0,generic_mio_trait_long_range_raiding
generic_mio_trait_diesel_powerplants,generic_raider_ship_organization,template,trait,generic_mio_trait_diesel_powerplants,GFX_generic_mio_trait_icon_fuel_consumption,,,,generic_mio_trait_long_range_raiding
generic_mio_trait_high_speed_operation_stores,generic_raider_ship_organization,template,trait,generic_mio_trait_high_speed_operation_stores,GFX_generic_mio_trait_icon_mines,,1,1,generic_mio_trait_high_speed_raiding
generic_mio_trait_high_speed_operation_stores_no_mtg,generic_raider_ship_organization,template,trait,generic_mio_trait_high_speed_operation_stores,GFX_generic_mio_trait_icon_mines,,0,0,generic_mio_trait_high_speed_operation_stores
generic_mio_trait_raiding_capital_ships,generic_raider_ship_organization,template,trait,generic_mio_trait_raiding_capital_ships,GFX_generic_mio_department_icon_ship_capital_ship_weapons,,1,2,generic_mio_trait_long_range_raiding
generic_mio_trait_long_range_engagement_ethos,generic_raider_ship_organization,template,trait,generic_mio_trait_long_range_engagement_ethos,GFX_generic_mio_department_icon_ship_capital_ship_weapons,,,,generic_mio_trait_raiding_capital_ships
generic_mio_trait_high_quality_optics,generic_raider_ship_organization,template,trait,generic_mio_trait_high_quality_optics,GFX_generic_mio_trait_icon_surface_detection,,1,1,generic_mio_trait_raiding_capital_ships
generic_mio_trait_raider_escort_requirements,generic_raider_ship_organization,template,trait,generic_mio_trait_raider_escort_requirements,GFX_generic_mio_department_icon_ship_screen_ship_engine,,,,generic_mio_trait_long_range_engagement_ethos
generic_mio_trait_unescorted_raider_requirements,generic_raider_ship_organization,template,trait,generic_mio_trait_unescorted_raider_requirements,GFX_generic_mio_trait_icon_lg_attack,,1,1,generic_mio_trait_long_range_engagement_ethos
