medal_key,modifier_key,modifier_value
order_of_the_red_banner,army_strength_factor,0.075
hero_of_the_soviet_union,army_org_factor,0.1
dispatches_oak_leaves,recon_factor_while_entrenched,0.25
order_british_empire,army_strength_factor,0.1
distinguished_service_order,army_defence_factor,0.075
victoria_cross,army_morale_factor,0.15
combatants_cross,max_dig_in_factor,0.1
combatants_cross,recon_factor_while_entrenched,0.1
war_cross,army_org_factor,0.075
order_of_liberation,army_fuel_consumption_factor,-0.15
legion_of_honor,supply_consumption_factor,-0.1
legion_of_honor,army_defence_factor,0.05
war_merit_cross,equipment_capture_factor,0.1
war_merit_cross,army_morale_factor,0.075
cross_of_military_valor,breakthrough_factor,0.05
cross_of_military_valor,army_strength_factor,0.05
order_of_savoy_fifth,supply_consumption_factor,-0.1
order_of_savoy_fifth,army_defence_factor,-0.05
order_of_savoy_first,army_attack_factor,0.05
military_medal_of_honor,army_morale_factor,0.075
sacred_treasure,army_morale_factor,0.05
sacred_treasure,army_strength_factor,0.05
golden_kite,supply_consumption_factor,-0.1
golden_kite,army_attack_factor,0.05
order_of_chrysanthemum,breakthrough_factor,0.15
great_east_asia_war_medal,max_dig_in_factor,0.1
great_east_asia_war_medal,army_defence_factor,0.05
order_of_the_rising_sun,breakthrough_factor,0.05
order_of_the_rising_sun,army_attack_factor,0.05
order_of_the_paulownia_flowers,supply_consumption_factor,-0.15
genghis_khan_military_merit_badge,supply_consumption_factor,-0.15
genghis_khan_military_merit_badge,breakthrough_factor,0.05
genghis_khan_military_merit_badge,army_attack_factor,0.05
ETH_order_of_st_george,army_org_factor,0.1
ETH_order_of_the_grand_star,army_attack_factor,0.05
ETH_military_medal_haile_selassie,army_morale_factor,0.15
ETH_military_medal_gugsa,supply_consumption_factor,-0.15
ETH_military_medal_haymanot,breakthrough_factor,0.1
ETH_military_medal_jofir,recon_factor,0.1
ETH_military_medal_democratic_communist,supply_consumption_factor,-0.15
ETH_gold_medal,equipment_capture_factor,0.15
ETH_silver_medal,experience_loss_factor,-0.25
chilean_medal_of_valor,army_morale_factor,0.1
chilean_medal_of_valor,experience_loss_factor,-0.05
order_of_bernardo_o_higgins,army_org_factor,0.1
order_of_bernardo_o_higgins,army_strength_factor,0.05
chilean_order_of_merit,army_attack_factor,0.05
chilean_order_of_merit,breakthrough_factor,0.05
chilean_order_of_merit,army_strength_factor,0.05
carabineros_medal_of_chile,recon_factor,0.15
carabineros_medal_of_chile,supply_consumption_factor,-0.1
legion_of_merit_of_chile,army_org_factor,0.1
legion_of_merit_of_chile,army_morale_factor,0.05
royal_order_of_the_steel_crown,breakthrough_factor,0.15
royal_order_of_the_steel_crown,army_attack_factor,0.05
noble_and_royal_order_of_the_southern_star,army_org_factor,0.1
noble_and_royal_order_of_the_southern_star,army_morale_factor,0.05
noble_and_royal_order_of_the_southern_star,supply_consumption_factor,-0.05
knights_cross_of_the_legion_of_the_southern_constellation,max_dig_in_factor,0.1
knights_cross_of_the_legion_of_the_southern_constellation,army_defence_factor,0.05
knight_cross_of_the_southern_constellation,experience_loss_factor,-0.2
knight_cross_of_the_southern_constellation,army_morale_factor,0.1
CHL_orden_el_sol_del_peru,equipment_capture_factor,0.1
CHL_orden_el_sol_del_peru,army_defence_factor,0.05
CHL_orden_el_sol_del_peru,army_attack_factor,0.05
medalla_combatiente_pu_mapuche,supply_consumption_factor,-0.15
medalla_combatiente_pu_mapuche,breakthrough_factor,0.1
medalla_meli_witran_mapu,army_defence_factor,0.1
medalla_meli_witran_mapu,army_org_factor,0.05
medalla_meli_witran_mapu,army_morale_factor,0.05
AUS_medal_1,army_defence_factor,0.025
AUS_medal_1,army_org_factor,0.05
AUS_medal_1,army_morale_factor,0.05
HUN_medal_1,army_org_factor,0.05
HUN_medal_1,army_morale_factor,0.05
HUN_medal_2,army_defence_factor,0.05
HUN_medal_3,army_attack_factor,0.025
HUN_medal_3,breakthrough_factor,0.025
HUN_medal_4,army_defence_factor,0.025
HUN_medal_4,army_org_factor,0.025
HUN_medal_5,experience_loss_factor,-0.1
HUN_medal_5,army_morale_factor,0.025
HUN_medal_6,experience_loss_factor,-0.1
HUN_medal_6,army_org_factor,0.03
HUN_medal_7,equipment_capture_factor,0.1
HUN_medal_7,supply_consumption_factor,-0.1
HUN_medal_8,breakthrough_factor,0.05
HUN_medal_9,army_org_factor,0.05
HUN_medal_9,army_attack_factor,0.01
HUN_medal_9,army_defence_factor,0.01
HUN_medal_10,army_org_factor,0.05
HUN_medal_10,breakthrough_factor,0.025
democratic_gallantry,army_morale_factor,0.1
democratic_honor,supply_consumption_factor,-0.15
democratic_war_cross,army_defence_factor,0.05
democratic_war_cross,recon_factor,0.1
democratic_lion,experience_loss_factor,-0.25
communist_service_medal,supply_consumption_factor,-0.15
communist_service_medal,army_fuel_consumption_factor,-0.15
communist_red_star,army_morale_factor,0.1
communist_red_star,army_defence_factor,0.05
communist_merit_medal,army_org_factor,0.1
communist_hero_of_revolution,army_strength_factor,0.1
fascism_bravery,army_org_factor,0.1
fascism_merit,army_attack_factor,0.05
fascism_order_brave,armor_factor,0.1
fascism_order_brave,recon_factor,0.1
fascism_heroism,breakthrough_factor,0.1
neutral_bravery,army_defence_factor,0.05
neutral_bravery,max_dig_in_factor,0.1
neutral_military_order,supply_consumption_factor,-0.15
neutral_military_order,army_morale_factor,0.1
neutral_sword,army_attack_factor,0.05
neutral_virtue,experience_loss_factor,-0.2
neutral_virtue,army_morale_factor,0.05
yug_extreme_bravery,max_dig_in,5
SWE_medal_1,supply_consumption_factor,-0.15
SWE_medal_1,max_dig_in_factor,0.05
