technology_key,prerequisite_key,source_file
tactical_bomber1,tactical_bomber2,air_techs.txt
tactical_bomber2,tactical_bomber3,air_techs.txt
tactical_bomber3,jet_tactical_bomber1,air_techs.txt
jet_tactical_bomber1,jet_tactical_bomber2,air_techs.txt
strategic_bomber1,strategic_bomber2,air_techs.txt
strategic_bomber2,strategic_bomber3,air_techs.txt
strategic_bomber2,reinforced_wings_mothership,air_techs.txt
strategic_bomber3,jet_strategic_bomber1,air_techs.txt
gwtank,basic_light_tank,armor.txt
gwtank,basic_heavy_tank,armor.txt
basic_light_tank,improved_light_tank,armor.txt
improved_light_tank,advanced_light_tank,armor.txt
improved_light_tank,amphibious_tank,armor.txt
improved_light_tank,basic_medium_tank,armor.txt
amphibious_tank,amphibious_tank_2,armor.txt
basic_medium_tank,improved_medium_tank,armor.txt
improved_medium_tank,advanced_medium_tank,armor.txt
improved_medium_tank,improved_heavy_tank,armor.txt
advanced_medium_tank,main_battle_tank,armor.txt
advanced_medium_tank,advanced_heavy_tank,armor.txt
basic_heavy_tank,improved_heavy_tank,armor.txt
improved_heavy_tank,advanced_heavy_tank,armor.txt
improved_heavy_tank,improved_medium_tank,armor.txt
improved_heavy_tank,super_heavy_tank,armor.txt
advanced_heavy_tank,main_battle_tank,armor.txt
advanced_heavy_tank,advanced_medium_tank,armor.txt
super_heavy_tank,sp_armored_lc_high_impact_obliterator_cannon_tech,armor.txt
super_heavy_tank,sp_armored_lc_naval_engine_conversion_tech,armor.txt
super_heavy_tank,sp_armored_lc_transmission_improvements_tech,armor.txt
super_heavy_tank,sp_armored_lc_specialized_field_manuals_tech,armor.txt
gw_artillery,interwar_artillery,artillery.txt
gw_artillery,interwar_antitank,artillery.txt
gw_artillery,interwar_antiair,artillery.txt
interwar_artillery,artillery1,artillery.txt
artillery1,artillery2,artillery.txt
artillery1,sp_artillery_rocket_assisted_projectiles_tech,artillery.txt
artillery1,sp_artillery_purpose_built_gun_motor_carriages_tech,artillery.txt
artillery2,artillery3,artillery.txt
artillery2,rocket_artillery,artillery.txt
artillery3,artillery4,artillery.txt
artillery4,artillery5,artillery.txt
rocket_artillery,rocket_artillery2,artillery.txt
rocket_artillery2,rocket_artillery3,artillery.txt
rocket_artillery3,rocket_artillery4,artillery.txt
interwar_antiair,antiair1,artillery.txt
antiair1,antiair2,artillery.txt
antiair2,antiair3,artillery.txt
antiair2,sp_shock_hardening_techniques,artillery.txt
antiair3,antiair4,artillery.txt
antiair4,antiair5,artillery.txt
interwar_antitank,antitank1,artillery.txt
antitank1,antitank2,artillery.txt
antitank2,antitank3,artillery.txt
antitank3,antitank4,artillery.txt
antitank4,antitank5,artillery.txt
sp_shock_hardening_techniques,sp_variable_time_fuze_shells,artillery.txt
bba_early_transport_plane,bba_improved_transport_plane,bba_air_techs.txt
bba_improved_transport_plane,bba_strategic_airlifter,bba_air_techs.txt
iw_small_airframe,basic_small_airframe,bba_air_techs.txt
basic_small_airframe,improved_small_airframe,bba_air_techs.txt
improved_small_airframe,advanced_small_airframe,bba_air_techs.txt
advanced_small_airframe,modern_small_airframe,bba_air_techs.txt
iw_medium_airframe,basic_medium_airframe,bba_air_techs.txt
basic_medium_airframe,improved_medium_airframe,bba_air_techs.txt
improved_medium_airframe,advanced_medium_airframe,bba_air_techs.txt
advanced_medium_airframe,modern_medium_airframe,bba_air_techs.txt
iw_large_airframe,basic_large_airframe,bba_air_techs.txt
basic_large_airframe,improved_large_airframe,bba_air_techs.txt
improved_large_airframe,advanced_large_airframe,bba_air_techs.txt
improved_large_airframe,reinforced_wings_mothership,bba_air_techs.txt
advanced_large_airframe,modern_large_airframe,bba_air_techs.txt
early_bombs,armor_piercing_bombs,bba_air_techs.txt
early_bombs,heavy_bombs,bba_air_techs.txt
air_torpedoe_1,air_torpedoe_2,bba_air_techs.txt
air_torpedoe_2,air_torpedoe_3,bba_air_techs.txt
aa_lmg,aa_hmg,bba_air_techs.txt
aa_lmg,aa_cannon_1,bba_air_techs.txt
aa_lmg,survivability_studies,bba_air_techs.txt
aa_cannon_1,aa_cannon_2,bba_air_techs.txt
aa_cannon_1,aa_cannon_3,bba_air_techs.txt
engines_1,engines_2,bba_air_techs.txt
engines_1,range_improvements,bba_air_techs.txt
engines_1,aircraft_construction,bba_air_techs.txt
engines_2,engines_3,bba_air_techs.txt
engines_3,engines_4,bba_air_techs.txt
engines_4,sp_centrifugal_jet_tech,bba_air_techs.txt
reinforced_wings_mothership,miniature_fighters,bba_air_techs.txt
miniature_fighters,aerial_hangars,bba_air_techs.txt
electronic_mechanical_engineering,radio,electronic_mechanical_engineering.txt
electronic_mechanical_engineering,mechanical_computing,electronic_mechanical_engineering.txt
electronic_mechanical_engineering,cavity_magnatron,electronic_mechanical_engineering.txt
radio,improved_radio,electronic_mechanical_engineering.txt
improved_radio,advanced_radio,electronic_mechanical_engineering.txt
radio_detection,cavity_magnatron,electronic_mechanical_engineering.txt
cavity_magnatron,centimetric_radar,electronic_mechanical_engineering.txt
centimetric_radar,phased_array,electronic_mechanical_engineering.txt
phased_array,monopulse_radar,electronic_mechanical_engineering.txt
mechanical_computing,computing_machine,electronic_mechanical_engineering.txt
mechanical_computing,basic_fire_control_system,electronic_mechanical_engineering.txt
computing_machine,improved_computing_machine,electronic_mechanical_engineering.txt
computing_machine,basic_encryption,electronic_mechanical_engineering.txt
computing_machine,basic_decryption,electronic_mechanical_engineering.txt
computing_machine,improved_fire_control_system,electronic_mechanical_engineering.txt
improved_computing_machine,advanced_computing_machine,electronic_mechanical_engineering.txt
improved_computing_machine,improved_encryption,electronic_mechanical_engineering.txt
improved_computing_machine,improved_decryption,electronic_mechanical_engineering.txt
improved_computing_machine,advanced_fire_control_system,electronic_mechanical_engineering.txt
advanced_computing_machine,advanced_encryption,electronic_mechanical_engineering.txt
advanced_computing_machine,advanced_decryption,electronic_mechanical_engineering.txt
basic_fortification_tech,coastal_fort_tech_1,electronic_mechanical_engineering.txt
basic_fortification_tech,land_fort_tech_1,electronic_mechanical_engineering.txt
land_fort_tech_1,land_fort_tech_2,electronic_mechanical_engineering.txt
coastal_fort_tech_1,coastal_fort_tech_2,electronic_mechanical_engineering.txt
experimental_rockets,sp_rockets_improved_guidance,electronic_mechanical_engineering.txt
experimental_rockets,sp_rockets_rocket_bomber,electronic_mechanical_engineering.txt
experimental_rockets,sp_rockets_dual_chamber_rocket_engine_1,electronic_mechanical_engineering.txt
sp_rockets_rocket_bomber,sp_rockets_improved_rocket_bomber,electronic_mechanical_engineering.txt
sp_rockets_dual_chamber_rocket_engine_1,sp_rockets_dual_chamber_rocket_engine_2,electronic_mechanical_engineering.txt
basic_machine_tools,improved_machine_tools,industry.txt
basic_machine_tools,concentrated_industry,industry.txt
basic_machine_tools,dispersed_industry,industry.txt
improved_machine_tools,advanced_machine_tools,industry.txt
improved_machine_tools,improved_equipment_conversion,industry.txt
advanced_machine_tools,assembly_line_production,industry.txt
assembly_line_production,flexible_line,industry.txt
assembly_line_production,streamlined_line,industry.txt
improved_equipment_conversion,advanced_equipment_conversion,industry.txt
concentrated_industry,concentrated_industry2,industry.txt
concentrated_industry2,concentrated_industry3,industry.txt
concentrated_industry3,concentrated_industry4,industry.txt
concentrated_industry4,concentrated_industry5,industry.txt
dispersed_industry,dispersed_industry2,industry.txt
dispersed_industry2,dispersed_industry3,industry.txt
dispersed_industry3,dispersed_industry4,industry.txt
dispersed_industry4,dispersed_industry5,industry.txt
fuel_silos,synth_oil_experiments,industry.txt
fuel_silos,fuel_refining,industry.txt
fuel_refining,fuel_refining2,industry.txt
fuel_refining2,fuel_refining3,industry.txt
fuel_refining3,fuel_refining4,industry.txt
fuel_refining4,fuel_refining5,industry.txt
synth_oil_experiments,oil_processing,industry.txt
synth_oil_experiments,rubber_processing,industry.txt
oil_processing,improved_oil_processing,industry.txt
improved_oil_processing,advanced_oil_processing,industry.txt
advanced_oil_processing,modern_oil_processing,industry.txt
rubber_processing,improved_rubber_processing,industry.txt
improved_rubber_processing,advanced_rubber_processing,industry.txt
advanced_rubber_processing,modern_rubber_processing,industry.txt
construction1,construction2,industry.txt
construction1,excavation1,industry.txt
construction2,construction3,industry.txt
construction2,excavation2,industry.txt
construction3,construction4,industry.txt
construction3,excavation3,industry.txt
construction4,construction5,industry.txt
construction4,excavation4,industry.txt
construction5,excavation5,industry.txt
infantry_weapons,infantry_weapons1,infantry.txt
infantry_weapons1,infantry_weapons2,infantry.txt
infantry_weapons2,improved_infantry_weapons,infantry.txt
improved_infantry_weapons,improved_infantry_weapons_2,infantry.txt
improved_infantry_weapons,infantry_at,infantry.txt
improved_infantry_weapons_2,advanced_infantry_weapons,infantry.txt
infantry_at,infantry_at2,infantry.txt
advanced_infantry_weapons,advanced_infantry_weapons2,infantry.txt
paratroopers,paratroopers2,infantry.txt
paratroopers2,paratroopers3,infantry.txt
marines,marines2,infantry.txt
marines2,marines3,infantry.txt
tech_mountaineers,tech_mountaineers2,infantry.txt
tech_mountaineers2,tech_mountaineers3,infantry.txt
rangers_tech,rangers_tech2,infantry.txt
rangers_tech2,rangers_tech3,infantry.txt
tech_special_forces,advanced_special_forces,infantry.txt
tech_special_forces,improved_special_forces,infantry.txt
advanced_special_forces,extreme_environment_training,infantry.txt
improved_special_forces,survival_training,infantry.txt
extreme_environment_training,elite_forces,infantry.txt
survival_training,elite_forces,infantry.txt
night_vision,night_vision2,infantry.txt
support_weapons,support_weapons2,infantry.txt
support_weapons2,support_weapons3,infantry.txt
support_weapons3,support_weapons4,infantry.txt
tech_trucks,motorised_infantry,infantry.txt
tech_trucks,armored_car1,infantry.txt
motorised_infantry,mechanised_infantry,infantry.txt
armored_car1,armored_car2,infantry.txt
armored_car2,armored_car3,infantry.txt
mechanised_infantry,mechanised_infantry2,infantry.txt
mechanised_infantry,amphibious_mechanized_infantry,infantry.txt
amphibious_mechanized_infantry,amphibious_mechanized_infantry_2,infantry.txt
mechanised_infantry2,mechanised_infantry3,infantry.txt
early_destroyer,basic_destroyer,naval.txt
basic_destroyer,improved_destroyer,naval.txt
improved_destroyer,advanced_destroyer,naval.txt
early_light_cruiser,basic_light_cruiser,naval.txt
basic_light_cruiser,improved_light_cruiser,naval.txt
basic_light_cruiser,basic_heavy_cruiser,naval.txt
improved_light_cruiser,advanced_light_cruiser,naval.txt
improved_light_cruiser,improved_heavy_cruiser,naval.txt
advanced_light_cruiser,advanced_heavy_cruiser,naval.txt
early_heavy_cruiser,basic_heavy_cruiser,naval.txt
basic_heavy_cruiser,improved_heavy_cruiser,naval.txt
basic_heavy_cruiser,basic_light_cruiser,naval.txt
improved_heavy_cruiser,advanced_heavy_cruiser,naval.txt
improved_heavy_cruiser,improved_light_cruiser,naval.txt
advanced_heavy_cruiser,advanced_light_cruiser,naval.txt
early_battlecruiser,basic_battlecruiser,naval.txt
basic_battlecruiser,improved_battleship,naval.txt
early_battleship,basic_battleship,naval.txt
basic_battleship,improved_battleship,naval.txt
basic_battleship,heavy_battleship2,naval.txt
improved_battleship,advanced_battleship,naval.txt
improved_battleship,basic_battlecruiser,naval.txt
transport,landing_craft,naval.txt
transport,sp_multi_product_supply_ships,naval.txt
landing_craft,tank_landing_craft,naval.txt
early_carrier,basic_carrier,naval.txt
basic_carrier,improved_carrier,naval.txt
improved_carrier,advanced_carrier,naval.txt
early_submarine,basic_submarine,naval.txt
basic_submarine,improved_submarine,naval.txt
improved_submarine,advanced_submarine,naval.txt
special_forces_mountaineers,ski_troops,special_forces_doctrine.txt
special_forces_mountaineers,rangers,special_forces_doctrine.txt
ski_troops,special_forces_recon,special_forces_doctrine.txt
rangers,special_forces_recon,special_forces_doctrine.txt
special_forces_recon,mountaineers_combat_1,special_forces_doctrine.txt
special_forces_recon,mountaineers_combat_2,special_forces_doctrine.txt
mountaineers_combat_1,mountaineers_combat_3,special_forces_doctrine.txt
mountaineers_combat_2,mountaineers_combat_3,special_forces_doctrine.txt
mountaineers_combat_3,mountaineers_keystone_1,special_forces_doctrine.txt
mountaineers_combat_3,mountaineers_keystone_2,special_forces_doctrine.txt
special_forces_marines,marines_jungle_troops,special_forces_doctrine.txt
special_forces_marines,marines_shore_parties,special_forces_doctrine.txt
marines_jungle_troops,marines_recon,special_forces_doctrine.txt
marines_shore_parties,marines_recon,special_forces_doctrine.txt
marines_recon,marines_commandoes,special_forces_doctrine.txt
marines_recon,marines_expeditionary,special_forces_doctrine.txt
marines_commandoes,marines_commandos_demolition,special_forces_doctrine.txt
marines_expeditionary,marines_expeditionary_blowtorch,special_forces_doctrine.txt
marines_commandos_demolition,marines_commandoes_mechanised,special_forces_doctrine.txt
marines_expeditionary_blowtorch,marines_expeditionary_support,special_forces_doctrine.txt
special_forces_paratroopers,paras_dispersed_drop,special_forces_doctrine.txt
special_forces_paratroopers,paras_combat_drop,special_forces_doctrine.txt
paras_dispersed_drop,paras_airborne_light_armor,special_forces_doctrine.txt
paras_combat_drop,paras_airborne_light_armor,special_forces_doctrine.txt
paras_airborne_light_armor,paras_combat_1,special_forces_doctrine.txt
paras_airborne_light_armor,paras_combat_2,special_forces_doctrine.txt
paras_combat_1,paras_bonus_1,special_forces_doctrine.txt
paras_combat_2,paras_bonus_2,special_forces_doctrine.txt
paras_bonus_1,paras_keystone_1,special_forces_doctrine.txt
paras_bonus_2,paras_keystone_2,special_forces_doctrine.txt
special_forces_rangers,rangers_jaegers_training,special_forces_doctrine.txt
special_forces_rangers,rangers_jungle_training,special_forces_doctrine.txt
rangers_jaegers_training,rangers_guerilla_doctrine,special_forces_doctrine.txt
rangers_jungle_training,rangers_guerilla_doctrine,special_forces_doctrine.txt
rangers_guerilla_doctrine,rangers_recon_terrain_training,special_forces_doctrine.txt
rangers_guerilla_doctrine,rangers_fire_support_integration,special_forces_doctrine.txt
rangers_recon_terrain_training,rangers_urban_combat,special_forces_doctrine.txt
rangers_fire_support_integration,rangers_urban_combat,special_forces_doctrine.txt
rangers_urban_combat,elite_rangers_doctrine,special_forces_doctrine.txt
rangers_urban_combat,rangers_backbone_doctrine,special_forces_doctrine.txt
tech_support,tech_engineers,support.txt
tech_support,tech_recon,support.txt
tech_support,tech_field_hospital,support.txt
tech_support,tech_logistics_company,support.txt
tech_support,tech_military_police,support.txt
tech_support,tech_signal_company,support.txt
tech_support,tech_maintenance_company,support.txt
tech_engineers,tech_engineers2,support.txt
tech_engineers,sp_armored_engineer_tech,support.txt
tech_engineers2,tech_engineers3,support.txt
tech_engineers3,tech_engineers4,support.txt
tech_recon,tech_recon2,support.txt
tech_recon,sp_helicopter_artillery_observers_tech,support.txt
tech_recon2,tech_recon3,support.txt
tech_recon3,tech_recon4,support.txt
tech_military_police,tech_military_police2,support.txt
tech_military_police,sp_armored_motorized_military_police_tech,support.txt
tech_military_police2,tech_military_police3,support.txt
tech_military_police3,tech_military_police4,support.txt
tech_maintenance_company,tech_maintenance_company2,support.txt
tech_maintenance_company,sp_armored_maintenance_tech,support.txt
tech_maintenance_company2,tech_maintenance_company3,support.txt
tech_maintenance_company3,tech_maintenance_company4,support.txt
tech_field_hospital,tech_field_hospital2,support.txt
tech_field_hospital,sp_helicopter_med_evac_tech,support.txt
tech_field_hospital2,tech_field_hospital3,support.txt
tech_field_hospital3,tech_field_hospital4,support.txt
tech_logistics_company,tech_logistics_company2,support.txt
tech_logistics_company,sp_helicopter_transport_pods_tech,support.txt
tech_logistics_company2,tech_logistics_company3,support.txt
tech_logistics_company3,tech_logistics_company4,support.txt
tech_signal_company,tech_signal_company2,support.txt
tech_signal_company,sp_armored_signal_tech,support.txt
tech_signal_company2,tech_signal_company3,support.txt
tech_signal_company3,tech_signal_company4,support.txt
basic_train,wartime_train,support.txt
basic_train,armored_train,support.txt
armored_train,railway_gun,support.txt
