template_name,division_names_group,source_file
Mountain Division,ETH_MNT_01,ETH_1936.txt
Kebur Zabagna,ETH_INF_IG,ETH_1936_bba.txt
Mehal Sefari,ETH_INF_02,ETH_1936_bba.txt
Chitet Sefari,ETH_INF_03,ETH_1936_bba.txt
Mountain Division,ETH_INF_02,ETH_1936_bba.txt
Jalkaväkidivisioona,FIN_INF_01,FIN_1936.txt
Erillinen Prikaati,FIN_GAR_01,FIN_1936.txt
Ratsuväkiprikaati,FIN_CAV_01,FIN_1936.txt
Jalkaväkidivisioona,FIN_INF_01,FIN_1939.txt
Erillinen Prikaati,FIN_GAR_01,FIN_1939.txt
Ratsuväkiprikaati,FIN_CAV_01,FIN_1939.txt
Division d'Infanterie,FRA_INF_01,FRA_1936.txt
Division Coloniale,FRA_COL_01,FRA_1936.txt
Division d'Infanterie Motorisée,FRA_MOT_01,FRA_1936.txt
Division d'Infanterie Alpine,FRA_MNT_01,FRA_1936.txt
Division de Cavalerie,FRA_CAV_01,FRA_1936.txt
Division Légère Mécanique,FRA_MEC_01,FRA_1936.txt
Brigade de Chars de Combat,FRA_ARM_01,FRA_1936.txt
Brigade Coloniale,FRA_COL_01,FRA_1936.txt
Division d'Infanterie,FRA_INF_01,FRA_1936_nsb.txt
Division Coloniale,FRA_COL_01,FRA_1936_nsb.txt
Division d'Infanterie Motorisée,FRA_MOT_01,FRA_1936_nsb.txt
Division d'Infanterie Alpine,FRA_MNT_01,FRA_1936_nsb.txt
Division de Cavalerie,FRA_CAV_01,FRA_1936_nsb.txt
Division Légère Mécanique,FRA_MEC_01,FRA_1936_nsb.txt
Brigade de Chars de Combat,FRA_ARM_01,FRA_1936_nsb.txt
Brigade Coloniale,FRA_COL_01,FRA_1936_nsb.txt
Division d'Infanterie,FRA_INF_01,FRA_1939.txt
Division Coloniale,FRA_COL_01,FRA_1939.txt
Division Forteresse,FRA_GAR_01,FRA_1939.txt
Division d'Infanterie Alpine,FRA_MNT_01,FRA_1939.txt
Division d'Infanterie Motorisée,FRA_MOT_01,FRA_1939.txt
Division de Cavalerie,FRA_CAV_01,FRA_1939.txt
Division Légère Mécanique,FRA_MEC_01,FRA_1939.txt
Brigade de Chars de Combat,FRA_ARM_02,FRA_1939.txt
Brigade Cuirassée,FRA_ARM_02,FRA_1939.txt
Brigade Coloniale,FRA_COL_01,FRA_1939.txt
Division d'Infanterie,FRA_INF_01,FRA_1939_nsb.txt
Division Coloniale,FRA_COL_01,FRA_1939_nsb.txt
Division Forteresse,FRA_GAR_01,FRA_1939_nsb.txt
Division d'Infanterie Alpine,FRA_MNT_01,FRA_1939_nsb.txt
Division d'Infanterie Motorisée,FRA_MOT_01,FRA_1939_nsb.txt
Division de Cavalerie,FRA_CAV_01,FRA_1939_nsb.txt
Division Légère Mécanique,FRA_MEC_01,FRA_1939_nsb.txt
Brigade de Chars de Combat,FRA_ARM_02,FRA_1939_nsb.txt
Brigade Cuirassée,FRA_ARM_02,FRA_1939_nsb.txt
Brigade Coloniale,FRA_COL_01,FRA_1939_nsb.txt
Juntuán,CHI_INF_01,GDC_1936_sea.txt
Sanjiao Jun,CHI_INF_01,GDC_1936_sea.txt
Infanterie-Division,GER_Inf_01,GER_1936.txt
Panzer-Division,GER_Arm_01,GER_1936.txt
Infanterie-Division (mot.),GER_MOT_02,GER_1936.txt
Gebirgs-Brigade,GER_Mnt_01,GER_1936.txt
Kavallerie-Brigade,GER_Cav_01,GER_1936.txt
Infanterie-Division,GER_Inf_01,GER_1936_nsb.txt
Panzer-Division,GER_Arm_01,GER_1936_nsb.txt
Infanterie-Division (mot.),GER_MOT_02,GER_1936_nsb.txt
Gebirgs-Brigade,GER_Mnt_01,GER_1936_nsb.txt
Kavallerie-Brigade,GER_Cav_01,GER_1936_nsb.txt
Infanterie-Division,GER_Inf_01,GER_1939.txt
Gebirgs-Division,GER_Mnt_01,GER_1939.txt
Fallschirmjäger-Division,GER_PAR_01,GER_1939.txt
Infanterie-Division (mot.),GER_MOT_02,GER_1939.txt
Leichte Division,GER_LTARM_01,GER_1939.txt
Panzer-Division,GER_Arm_01,GER_1939.txt
SS-Regiment,GER_SS_01,GER_1939.txt
Kavallerie-Brigade,GER_Cav_01,GER_1939.txt
Sicherungs-Division,GER_GAR_01,GER_1939.txt
Infanterie-Division,GER_Inf_01,GER_1939_nsb.txt
Gebirgs-Division,GER_Mnt_01,GER_1939_nsb.txt
Fallschirmjäger-Division,GER_PAR_01,GER_1939_nsb.txt
Infanterie-Division (mot.),GER_MOT_02,GER_1939_nsb.txt
Leichte Division,GER_LTARM_01,GER_1939_nsb.txt
Panzer-Division,GER_Arm_01,GER_1939_nsb.txt
SS-Regiment,GER_SS_01,GER_1939_nsb.txt
Kavallerie-Brigade,GER_Cav_01,GER_1939_nsb.txt
Sicherungs-Division,GER_GAR_01,GER_1939_nsb.txt
SS-Sturmbrigade,GER_Inf_01,GER_German_Civil_War_fascist.txt
Landsturmregiment,GER_Inf_01,GER_German_Civil_War_neutrality.txt
Trigonikó Pezikoú,GRE_INF_01,GRE_1936.txt
Tetrágono Pezikoú,GRE_MNT_01,GRE_1936.txt
Merarchía Ippikoú,GRE_CAV_01,GRE_1936.txt
Trigonikó Pezikoú,GRE_INF_01,GRE_1939.txt
Tetrágono Pezikoú,GRE_MNT_01,GRE_1939.txt
Merarchía Ippikoú,GRE_CAV_01,GRE_1939.txt
Juntuán,XSM_INF_01,GSM_1936_sea.txt
Juntuán Reformed,XSM_INF_01,GSM_1936_sea.txt
Qibing Jun,XSM_CAV_01,GSM_1936_sea.txt
Brigada de Infanteria,SPAN_INFB_01,GUA_1936.txt
Brigada de Infanteria,SPAN_INFB_01,GUA_1939.txt
Juntuán,GXC_INF_01,GXC_1936.txt
Sanjiao Jun,GXC_INF_01,GXC_1936_sea.txt
Binary Infantry,GXC_INF_01,GXC_1939.txt
Triangular Infantry,GXC_INF_01,GXC_1939.txt
Brigade de Infanterie,FREN_INFB_01,HAI_1936.txt
Brigade de Infanterie,FREN_INFB_01,HAI_1939.txt
Juntuán,CHI_INF_01,HBC_1936_sea.txt
Sanjiao Jun,CHI_INF_01,HBC_1936_sea.txt
Qibing Jun,CHI_CAV_01,HBC_1936_sea.txt
Infanterie Divisie,HOL_INF_01,HOL_1936.txt
Koloniaal Garnizoen,INS_GAR_01,HOL_1936.txt
Mariniersdivisie,HOL_MAR_01,HOL_1936.txt
Infanterie Divisie,HOL_INF_01,HOL_1939.txt
Lichte Divisie,HOL_INF_01,HOL_1939.txt
Koloniaal Garnizoen,INS_GAR_01,HOL_1939.txt
Mariniersdivisie,HOL_MAR_01,HOL_1939.txt
Brigada de Infanteria,SPAN_INFB_01,HON_1936.txt
Brigada de Infanteria,SPAN_INFB_01,HON_1939.txt
Gyalogdandár,HUN_INF_02,HUN_1936.txt
Huszár Dandár,HUN_CAV_01,HUN_1936.txt
Gyalogdandár,HUN_INF_02,HUN_1939.txt
Huszár Dandár,HUN_CAV_01,HUN_1939.txt
Motorizált Dandár,HUN_MOT_01,HUN_1939.txt
Gyalogdandár,HUN_INF_02,HUN_1939_nsb.txt
Huszár Dandár,HUN_CAV_01,HUN_1939_nsb.txt
Motorizált Dandár,HUN_MOT_01,HUN_1939_nsb.txt
Gyalogdandár,HUN_INF_02,HUN_wuw_1936.txt
Huszár Dandár,HUN_CAV_01,HUN_wuw_1936.txt
Lovassági Társaság,HUN_CAV_01,HUN_wuw_1936.txt
Ríkislögreglan,,ICE_1936.txt
Ríkislögreglan,,ICE_1939.txt
Infanterie Divisie,INS_INF_01,INS_1936.txt
KNIL Koloniaal Garnizoen,INS_GAR_01,INS_1936.txt
Infanterie Divisie,INS_INF_01,INS_1939.txt
KNIL Koloniaal Garnizoen,INS_GAR_01,INS_1939.txt
Infantry Division,IRE_INF_01,IRE_1936.txt
Infantry Division,IRE_INF_01,IRE_1939.txt
Firqat Mushaa,IRQ_INF_01,IRQ_1936.txt
Silah Alfursan,IRQ_CAV_01,IRQ_1936.txt
Alfurqat Almasha,IRQ_INF_01,IRQ_1939.txt
Alfurqat Aljabalia,IRQ_MTN_01,IRQ_1939.txt
Divisione di Fanteria,ITA_INF_01,ITA_1936.txt
Divisione Alpina,ITA_MNT_01,ITA_1936.txt
Camicie Nere,ITA_INF_02,ITA_1936.txt
Divisione Celere,ITA_CAV_02,ITA_1936.txt
Reggimento di Cavalleria,ITA_CAV_01,ITA_1936.txt
Divisione Coloniale,ITA_COL_01,ITA_1936.txt
Divisione Ascari Libica,ITA_COL_01,ITA_1936.txt
Divisione Ascari Eritrea,ITA_COL_01,ITA_1936.txt
Divisione Ascari Somala,ITA_COL_01,ITA_1936.txt
Banda Indigena Irregolare,ITA_COL_02,ITA_1936.txt
Truppe Irregolari a Cavallo,ITA_CAV_05,ITA_1936.txt
Banda Irregolare Libica,ITA_COL_02,ITA_1936.txt
Banda Irregolare Eritrea,ITA_COL_02,ITA_1936.txt
Banda Irregolare Somala,ITA_COL_03,ITA_1936.txt
Camicie Nere,ITA_INF_02,ITA_1936_african_oob_for_fragmentation.txt
Divisione Coloniale,ITA_COL_01,ITA_1936_african_oob_for_fragmentation.txt
Divisione Ascari Libica,ITA_COL_01,ITA_1936_african_oob_for_fragmentation.txt
Divisione Ascari Eritrea,ITA_COL_01,ITA_1936_african_oob_for_fragmentation.txt
Divisione Ascari Somala,ITA_COL_01,ITA_1936_african_oob_for_fragmentation.txt
Banda Indigena Irregolare,ITA_COL_02,ITA_1936_african_oob_for_fragmentation.txt
Truppe Irregolari a Cavallo,ITA_CAV_05,ITA_1936_african_oob_for_fragmentation.txt
Banda Irregolare Libica,ITA_COL_02,ITA_1936_african_oob_for_fragmentation.txt
Banda Irregolare Eritrea,ITA_COL_02,ITA_1936_african_oob_for_fragmentation.txt
Banda Irregolare Somala,ITA_COL_03,ITA_1936_african_oob_for_fragmentation.txt
Divisione di Fanteria,ITA_INF_01,ITA_1936_nsb.txt
Divisione Alpina,ITA_MNT_01,ITA_1936_nsb.txt
Camicie Nere,ITA_INF_02,ITA_1936_nsb.txt
Divisione Celere,ITA_CAV_02,ITA_1936_nsb.txt
Reggimento di Cavalleria,ITA_CAV_01,ITA_1936_nsb.txt
Divisione Coloniale,ITA_COL_01,ITA_1936_nsb.txt
Divisione Ascari Libica,ITA_COL_01,ITA_1936_nsb.txt
Divisione Ascari Eritrea,ITA_COL_01,ITA_1936_nsb.txt
Divisione Ascari Somala,ITA_COL_01,ITA_1936_nsb.txt
Banda Indigena Irregolare,ITA_COL_02,ITA_1936_nsb.txt
Truppe Irregolari a Cavallo,ITA_CAV_05,ITA_1936_nsb.txt
Banda Irregolare Libica,ITA_COL_02,ITA_1936_nsb.txt
Banda Irregolare Eritrea,ITA_COL_02,ITA_1936_nsb.txt
Banda Irregolare Somala,ITA_COL_03,ITA_1936_nsb.txt
Divisione di Fanteria,ITA_INF_01,ITA_1939.txt
Divisione Alpina,ITA_MNT_01,ITA_1939.txt
Divisione Autotrasportabile,ITA_MOT_01,ITA_1939.txt
Divisione Motorizzata,ITA_MOT_01,ITA_1939.txt
Divisione Celere,ITA_CAV_02,ITA_1939.txt
Divisione Corazzata,ITA_ARM_01,ITA_1939.txt
Raggruppamento Celere,ITA_CAV_02,ITA_1939.txt
Camicie Nere,ITA_INF_02,ITA_1939.txt
Divisione Coloniale,ITA_COL_01,ITA_1939.txt
Divisione Ascari Libica,ITA_COL_01,ITA_1939.txt
Divisione Ascari Eritrea,ITA_COL_01,ITA_1939.txt
Divisione Ascari Somala,ITA_COL_01,ITA_1939.txt
Banda Indigena Irregolare,ITA_COL_02,ITA_1939.txt
Truppe Irregolari a Cavallo,ITA_CAV_05,ITA_1939.txt
Banda Irregolare Libica,ITA_COL_02,ITA_1939.txt
Banda Irregolare Eritrea,ITA_COL_02,ITA_1939.txt
Banda Irregolare Somala,ITA_COL_03,ITA_1939.txt
Divisione di Fanteria,ITA_INF_01,ITA_1939_nsb.txt
Divisione Alpina,ITA_MNT_01,ITA_1939_nsb.txt
Divisione Autotrasportabile,ITA_MOT_01,ITA_1939_nsb.txt
Divisione Motorizzata,ITA_MOT_01,ITA_1939_nsb.txt
Divisione Celere,ITA_CAV_02,ITA_1939_nsb.txt
Divisione Corazzata,ITA_ARM_01,ITA_1939_nsb.txt
Raggruppamento Celere,ITA_CAV_02,ITA_1939_nsb.txt
Camicie Nere,ITA_INF_02,ITA_1939_nsb.txt
Divisione Coloniale,ITA_COL_01,ITA_1939_nsb.txt
Divisione Ascari Libica,ITA_COL_01,ITA_1939_nsb.txt
Divisione Ascari Eritrea,ITA_COL_01,ITA_1939_nsb.txt
Divisione Ascari Somala,ITA_COL_01,ITA_1939_nsb.txt
Banda Indigena Irregolare,ITA_COL_02,ITA_1939_nsb.txt
Truppe Irregolari a Cavallo,ITA_CAV_05,ITA_1939_nsb.txt
Banda Irregolare Libica,ITA_COL_02,ITA_1939_nsb.txt
Banda Irregolare Eritrea,ITA_COL_02,ITA_1939_nsb.txt
Banda Irregolare Somala,ITA_COL_03,ITA_1939_nsb.txt
Hohei Shidan,JAP_INF_01,JAP_1936.txt
Dokuritsu Konsei Ryodan,JAP_IMB_01,JAP_1936.txt
Kihei Shidan,JAP_CAV_01,JAP_1936.txt
Jidousha Shidan,JAP_MOT_01,JAP_1936.txt
Rikusentai,JAP_MAR_01,JAP_1936.txt
Chuton-chi Shidan,JAP_GAR_01,JAP_1936.txt
Ginrinbutai,JAP_BIC_01,JAP_1936.txt
Kutei Shidan,JAP_PAR_01,JAP_1936.txt
Hohei Shidan,JAP_INF_01,JAP_1936_nsb.txt
Dokuritsu Konsei Ryodan,JAP_IMB_01,JAP_1936_nsb.txt
Kihei Shidan,JAP_CAV_01,JAP_1936_nsb.txt
Jidousha Shidan,JAP_MOT_01,JAP_1936_nsb.txt
Rikusentai,JAP_MAR_01,JAP_1936_nsb.txt
Chuton-chi Shidan,JAP_GAR_01,JAP_1936_nsb.txt
Ginrinbutai,JAP_BIC_01,JAP_1936_nsb.txt
Kutei Shidan,JAP_PAR_01,JAP_1936_nsb.txt
Hohei Shidan,JAP_INF_01,JAP_1939.txt
Chugata Hohei Shidan,JAP_INF_01,JAP_1939.txt
Dokuritsu Konsei Ryodan,JAP_IMB_01,JAP_1939.txt
Kihei Shidan,JAP_CAV_01,JAP_1939.txt
Jidousha Shidan,JAP_MOT_01,JAP_1939.txt
Senshadan,JAP_ARM_01,JAP_1939.txt
Rikusentai,JAP_MAR_01,JAP_1939.txt
Chuton-chi Shidan,JAP_GAR_01,JAP_1939.txt
Ginrinbutai,JAP_BIC_01,JAP_1939.txt
Kutei Shidan,JAP_PAR_01,JAP_1939.txt
Hohei Shidan,JAP_INF_01,JAP_1939_nsb.txt
